Original_Input_Text,RL_Types,Raw_Model_Output
你上面就有一条，说我们口音很贱,[认同逻辑4],输出： [认同逻辑4]
哈哈，就是，而且我有个同事达州的，他说他的口音才是正宗成都话,[认同逻辑4：Linguistic-Cultural Recognition],输出： [认同逻辑4：Linguistic-Cultural Recognition]
哈哈哈哈，口音很贱，这个,[认同逻辑4：Linguistic-Cultural Recognition],输出： [认同逻辑4：Linguistic-Cultural Recognition]
重要的不是几套房子 房子在哪，是不是老破小，重要是带不带口音口音改不到撒,[认同逻辑4：Linguistic-Cultural Recognition],输出： [认同逻辑4：Linguistic-Cultural Recognition]
还有外地人骂成都口音难听呢，逼着他来成都了？,[认同逻辑4],输出： [认同逻辑4]
我也不知道我算不算成都人，爸爸是成都人，爷爷奶奶也生活在成都，我户口在成都。但是妈妈是外地人，我爸妈都在我妈妈的城市工作。从小我跟着爸妈在我妈妈出生的城市生活，小时候放假回成都，和小朋友玩要被骂乡巴佬，所以导致我小时候不愿意回成都，一直到读研才回的成都，读完研就出国了，现在回成都快3年，不太会说成都话，听得懂，但愿意说四川话，总被同事说我说的四川话有口音，我也一直对成都没有认同感。,"[认同逻辑3：Family Rootedness, 认同逻辑2：Administrative Legitimacy, 认同逻辑4：Linguistic-Cultural Recognition]","输出： [认同逻辑3：Family Rootedness, 认同逻辑2：Administrative Legitimacy, 认同逻辑4：Linguistic-Cultural Recognition]"
一个口音，一个面，我们天天被网暴，门都不敢出,[认同逻辑4],输出： [认同逻辑4]
就是。。。基本上现在接到那些骚扰电话都是外地口音哎，不是歧视外地人，只是觉得如果他们回老家，做点其他工作，也比鼓捣留在成都打骚扰电话好嘛,[认同逻辑4],输出： [认同逻辑4]
之前在成都上学遇到两个女的 就不是成都人 四川其他地方的 非要说自己是成都人 只是亲戚在双流买了房子而已各种也装的要死 我真的想问这有什么好优越的吗自己的土生土长的地方都不承认,"[认同逻辑3：Family Rootedness]  
理由：作者明确表达了对“本地人”身份的界定标准，认为只有“土生土长”的人才能算是真正的本地人，暗示通过家族历史或成长地来判断本地人身份的逻辑。同时，作者对那些并非成长于成都、仅因亲戚在双流买房就自称成都人的行为表示否定，进一步强化了其对“Family Rootedness”作为身份判断标准的认同。","输出： [认同逻辑3：Family Rootedness]  
理由：作者明确表达了对“本地人”身份的界定标准，认为只有“土生土长”的人才能算是真正的本地人，暗示通过家族历史或成长地来判断本地人身份的逻辑。同时，作者对那些并非成长于成都、仅因亲戚在双流买房就自称成都人的行为表示否定，进一步强化了其对“Family Rootedness”作为身份判断标准的认同。"
我也想说，我那个农村老板在成都买房了，经常给我说我现在也是成都本地人了，创业初成功经常在那吹嘘自己🐮逼，神戳戳的，他不在别的同事面前说他是成都户口了因为其他人不是土著,[认同逻辑2：Administrative Legitimacy] [认同逻辑3：Family Rootedness] [认同逻辑6：Social Embeddedness],输出： [认同逻辑2：Administrative Legitimacy] [认同逻辑3：Family Rootedness] [认同逻辑6：Social Embeddedness]
我倒觉得是外来的多了故意在那点火，成都越扩越大本来对我爸妈这种老一辈是不好区分的，现在离成都二三环内天远地远的地方也叫成都，结果一导航开过车过来还要老半天比去隔壁几个市坐高铁时间都长还不如说原来的某某地名好记，老一辈是不习惯啊，然后就说歧视了,[认同逻辑1: Vernacular Spatial Authority（社会习惯性区域认知）],输出： [认同逻辑1: Vernacular Spatial Authority（社会习惯性区域认知）]
并没有啊，成都有钱的又不一定是土著，绝大部分土著只是不愁房子住，另外有多余的房子可以出租出去，所以工资那么低很多人还是过得很开心月收入足够支撑不错的生活水平了。成都人天生一副你有钱那是你的事，我不去羡慕各过各的谁也不碍着谁所以大家才悠然自得，那些个有钱的区域又不属于是给土著的，多是外地赚了钱来成都消费或者安置的,[认同逻辑3：Family Rootedness（家族历史根基/个体成长史）] [认同逻辑6：Social Embeddedness（社会根基深浅与经济地位象征）] [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）],输出： [认同逻辑3：Family Rootedness（家族历史根基/个体成长史）] [认同逻辑6：Social Embeddedness（社会根基深浅与经济地位象征）] [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）]
我崇州的嘛 我们身边的人被问到是哪里的 都直接说崇州 不会说是成都的从小到大耳濡目染的就是成都人都觉得三环以外的不算成都的,[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）],输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）]
话说什么是土著，我认为从爷爷辈土生土长开始才算是土著，那些从外地拿到成都户口或者父母辈从外地来定居生下的娃娃，然后很骄傲的弯酸，这种不算，并且所谓的成都人假打90%以上都是这种人,[认同逻辑3：Family Rootedness],输出： [认同逻辑3：Family Rootedness]
我觉得哪个地方的土著都会多少有点优越感吧……毕竟是土生土长本地人 对吧,[认同逻辑3：Family Rootedness],输出： [认同逻辑3：Family Rootedness]
我没觉得喃，每次回去都觉得多亲切的，被烧的时候一点感觉都没有，我还是土生土长成都女娃儿，一点口音都没有，一样被烧,"[认同逻辑3：Family Rootedness（家族历史根基/个体成长史）, 认同逻辑4：Linguistic-Cultural Recognition（文化语言识别性）]","输出： [认同逻辑3：Family Rootedness（家族历史根基/个体成长史）, 认同逻辑4：Linguistic-Cultural Recognition（文化语言识别性）]"
反正我三环外的不是成都人,[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）],输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）]
我同学说二环外的都是农民,[认同逻辑1],输出： [认同逻辑1]
歧视三环外的多，还是学生偏多,[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）],输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）]
成都土著的优越感是最强的，没有之一那种。比如他们在强调自己血统纯正的时候，往往会在前面加上土著或土生土长这样的词语。外地的不用说了，还没资格让土生土长的5城区成都人看不起，有资格被看不起的，首先你要是三环外但是大成都的弯脚杆和211，或者是后面来但是获得了成都省护照的新成都。,"[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）, 认同逻辑3：Family Rootedness（家族历史根基/个体成长史）, 认同逻辑4：Linguistic-Cultural Recognition（文化语言识别性）]","输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）, 认同逻辑3：Family Rootedness（家族历史根基/个体成长史）, 认同逻辑4：Linguistic-Cultural Recognition（文化语言识别性）]"
成华区二环内土著 几十年了没觉得啥子,[认同逻辑3],输出： [认同逻辑3]
我是成都土著，我觉得还好！说实话哈，只是确确实实有一点受不了一些口音。但是不存在什么问题强强联合，成都本地人也很多撇火药哈。,[认同逻辑3：Family Rootedness，认同逻辑4：Linguistic-Cultural Recognition],输出： [认同逻辑3：Family Rootedness，认同逻辑4：Linguistic-Cultural Recognition]
三环外的弯脚杆咋个敢嫌弃哪个,[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）],输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）]
本土著去年底刚从市中心搬到天府新区 只能说三环内土著不歧视外地人但歧视三环外人,[认同逻辑1：Vernacular Spatial Authority],输出： [认同逻辑1：Vernacular Spatial Authority]
听过同事吐槽，她老公是二环的，她家在二环也有房子，但是户口是青白江的，然后她老公的亲戚摆龙门阵就一口一个你们乡坝头咋个咋个,"[认同逻辑2：Administrative Legitimacy（行政归属合法性）, 认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）]","输出： [认同逻辑2：Administrative Legitimacy（行政归属合法性）, 认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）]"
三环边边 不敢说是土著 走到一环二环都说进城 不敢开车 怕遭说,"[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）, 认同逻辑3：Family Rootedness（家族历史根基/个体成长史）, 认同逻辑4：Linguistic-Cultural Recognition（文化语言识别性）]","输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）, 认同逻辑3：Family Rootedness（家族历史根基/个体成长史）, 认同逻辑4：Linguistic-Cultural Recognition（文化语言识别性）]"
我还挺喜欢成都口音的,[认同逻辑4：Linguistic-Cultural Recognition（文化语言识别性）],输出： [认同逻辑4：Linguistic-Cultural Recognition（文化语言识别性）]
三环外不配，而且可能还同时被外地人歧视,[认同逻辑1],输出： [认同逻辑1]
作为一环路穷土著我真没觉得我有优越感，但是遇到一部分四川其他地方的朋友就会暗戳戳地想象“她是不是有优越感”，我成都朋友在外面说个成都话，都会被不知情的人指责她学成都口音装成都人,[认同逻辑4：Linguistic-Cultural Recognition],输出： [认同逻辑4：Linguistic-Cultural Recognition]
其实和成都土著关系不大，还是看个人素质，在成都呆了10多年，大部分成都土著还是很好的，以前嘿多成都嬢嬢经常给我介绍对象,[认同逻辑3：Family Rootedness],输出： [认同逻辑3：Family Rootedness]
怎么说呢，我老家是成都郊区的，跟父母常年住在成都的，每次别人问我，我都说我是某郊区人别人都会说：成都人哦！感觉阴阳怪气的,[认同逻辑3：Family Rootedness],输出： [认同逻辑3：Family Rootedness]
不知道 但是知道土著一直在被其他人嘲讽口音 不知道有什么好笑的 特别是那个电炒饭...,[认同逻辑4：Linguistic-Cultural Recognition（文化语言识别性）],输出： [认同逻辑4：Linguistic-Cultural Recognition（文化语言识别性）]
成都人都很和蔼都不会歧视外地人，反而是外地人比较歧视和排挤成都人吧，出去上班熟都不熟就开始问你，你们屋头有几套房？你们屋头有几套房你还出来上班啊？还半工半读那么努力？何必把你们平时生活中的不如意归结在成都本地人身上，作为一个正常人，这样的提问方式请问礼貌吗？而且外地的都很有钱，能够买的起房，给得起彩礼，我们成都的有几个买的起房给得起彩礼嘛我们哪里敢有优越感，我二环的，我们去春熙路一般都说进城,"[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）, 认同逻辑3：Family Rootedness（家族历史根基/个体成长史）, 认同逻辑4：Linguistic-Cultural Recognition（文化语言识别性）]","输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）, 认同逻辑3：Family Rootedness（家族历史根基/个体成长史）, 认同逻辑4：Linguistic-Cultural Recognition（文化语言识别性）]"
不知道什么时候开始我们老成都人就开始被人骂看不起人了，大多是普通家庭的老成都谁管你哪来的，为什么说成都包容度大就是不管别人的事啊，归属感不强不融入当地不是本地人的错,[认同逻辑3：Family Rootedness] [认同逻辑4：Linguistic-Cultural Recognition],输出： [认同逻辑3：Family Rootedness] [认同逻辑4：Linguistic-Cultural Recognition]
锦江区二环攀成钢必须焊死在脑门上,[认同逻辑1，认同逻辑3],输出： [认同逻辑1，认同逻辑3]
一般说弯脚杆都是因为他们先挑衅，攻击你家乡你也不乐意啊，说成都的面最难吃，成都二环内市区破烂，口音难听，做人假打...真的成都人才是每天被外地人歧视,[认同逻辑4：Linguistic-Cultural Recognition],输出： [认同逻辑4：Linguistic-Cultural Recognition]
我也三环外甚至都不会说自己是成都人，除非给外地人介绍时再加个成都成都土著一般指的中心城区吧,[认同逻辑1],输出： [认同逻辑1]
因为我们二环的一般没事不进城，就在我们这个偏僻的地方玩,[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）],输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）]
怎么说呢？成都人其实真的不排外，也不歧视，但是有一点就是他们爱喊三环外的弯脚杆，老一辈传下来的吧！因为三环外就变口音了，但是平时还是相处很好，有时候给朋友开玩笑也会说你个批弯弯叉河过来得 ，其实就是开玩笑没有歧视意思，现在年轻人还好，应该就是老一辈带下来的口头禅，我是这样理解的,"[认同逻辑1, 认同逻辑4]","输出： [认同逻辑1, 认同逻辑4]"
哈哈哈哈 我土著我倒是还好，但我身边的土著亲戚朋友 确实看不起外地的 而且三环外的都不行 我亲戚还说我男朋友是农转非,"[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）, 认同逻辑3：Family Rootedness（家族历史根基/个体成长史）, 认同逻辑6：Social Embeddedness（社会根基深浅与经济地位象征）]","输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）, 认同逻辑3：Family Rootedness（家族历史根基/个体成长史）, 认同逻辑6：Social Embeddedness（社会根基深浅与经济地位象征）]"
大邑不算，土著是一二三环内,[认同逻辑1],输出： [认同逻辑1]
以前主要是大邑口音真的重，现在还好了吧现在在成都的外地人特别歧视成都土著,[认同逻辑4：Linguistic-Cultural Recognition],输出： [认同逻辑4：Linguistic-Cultural Recognition]
我爷爷老家是大邑县那边的，但是现在我爷爷的全家亲戚都已经全部搬到成都来了，并且有可能是我们沟通交流确实比较少，我印象当中他们没有过说可能要回到祖籍地去探望一下之类的。然后到我爸爸这一代就已经开始说自己就是土生土长成都人了。,[认同逻辑3：Family Rootedness],输出： [认同逻辑3：Family Rootedness]
思想观念，口音，穿着品味,[认同逻辑4],输出： [认同逻辑4]
……如果北京上海土著来到成都也是外地人，是不是也歧视人家思想意识 口音 和穿着品味,[认同逻辑4：Linguistic-Cultural Recognition],输出： [认同逻辑4：Linguistic-Cultural Recognition]
哈哈哈点了，大大方方承认不好吗，还要拿什么思想观念口音穿着品味当遮羞布，都21世纪了，不会真有人觉得只有城里人思想前卫穿着讲究品味高档吗至于口音，更加扯淡不是吗,[认同逻辑4：Linguistic-Cultural Recognition],输出： [认同逻辑4：Linguistic-Cultural Recognition]
认识的成都本地朋友中，没有这种人。网上一刷，这成都的鄙视链比北京都严重。比京二环的好像要牛气多了,[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）],输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）]
成都二环内土著，问就是没优越感，我也没什么社交圈子，有几个朋友，大多不是本地人，也没觉得啥,[认同逻辑3：Family Rootedness],输出： [认同逻辑3：Family Rootedness]
小时候没有成都土著这个概念，这十年也不知道是谁定义了这个概念,[认同逻辑3：Family Rootedness],输出： [认同逻辑3：Family Rootedness]
没有什么优越感。土著，从长顺街出来的，从上班就开始羡慕当年周边的城乡结合部，有分红，有拆迁，有土地。到现在40+，就羡慕从农村来的，过年可以回乡下放火炮，杀猪，天然无污染环境。读以前的锦小时，很多同学都是军区后勤的家属，也羡慕啊，什么都有优待。反正，没有觉得土著有太多优越感，不过还是很怀念以前长顺上街，中街以及长发街附近的老邻居些。,[认同逻辑3],输出： [认同逻辑3]
我家反正是三环外城乡结合部，周边啥都有反正不进城里玩一般,[认同逻辑1，认同逻辑5],输出： [认同逻辑1，认同逻辑5]
有歧视的老土著挺多的，尤其是住在那种老破小的中年和老年人当然肯定也有很友好的土著，但是那种谈到三环外的5句话就有弯脚杆的土著占比还是很多,"[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）, 认同逻辑4：Linguistic-Cultural Recognition（文化语言识别性）]","输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）, 认同逻辑4：Linguistic-Cultural Recognition（文化语言识别性）]"
好像！！？你说的有道理！！！不过成都土著没有拆迁户过的轻松就不明白这优越感哪里来的hhh,[认同逻辑3：Family Rootedness（家族历史根基/个体成长史）],输出： [认同逻辑3：Family Rootedness（家族历史根基/个体成长史）]
成都人不是被骂的人吗？陈冠希。假打。口音难听。全是槽点。,[认同逻辑4：Linguistic-Cultural Recognition],输出： [认同逻辑4：Linguistic-Cultural Recognition]
都是外地人歧视成都口音的嘛,[认同逻辑4：Linguistic-Cultural Recognition],输出： [认同逻辑4：Linguistic-Cultural Recognition]
我觉得成都口音挺好听的呀。,[认同逻辑4：Linguistic-Cultural Recognition（文化语言识别性）],输出： [认同逻辑4：Linguistic-Cultural Recognition（文化语言识别性）]
其实从小学到上班，身边就很多外地同学同事了。更不用说上班快十年，几家公司，只遇到过几个本地人。外地朋友些太多了哈，正常普通人没得啥子优越感的，大家都是打工人。但是有些拆迁户老嬢嬢是会有些优越感，让人觉得烦。外地朋友觉得不舒服可以不用理她们。还有结婚的问题，其他人我不晓得，但是我们这一批基本都是同学介绍的，所以大部分年纪都同年或者差不多，所以本地结婚的多。但是也有嫁到外地和取外地姑娘的同学，都是有的哈，不要说的那么笃定。,[认同逻辑3：Family Rootedness（家族历史根基/个体成长史）],输出： [认同逻辑3：Family Rootedness（家族历史根基/个体成长史）]
小时候有，因为确实不给房租，用完回家吃饭睡觉，过得比来成都打工的同事好很多，而且四川其他地方来打工的听说你是本地人，他们很羡慕哈，本来我没觉得咋的后来就越来越不觉得了，感觉小孩父母都是过节回老家，我女曾经说我们咋没有老家我说就成都呀，她还觉得不安逸，都没地方回人家也都在成都买了房定居了，所以也没啥优越不优越感觉了,[认同逻辑3：Family Rootedness，认同逻辑6：Social Embeddedness],输出： [认同逻辑3：Family Rootedness，认同逻辑6：Social Embeddedness]
没有，倒是会被外地人歧视，说我说话口音牙尖弯酸，天天都说“电炒饭”,[认同逻辑4],输出： [认同逻辑4]
都江堰的在成都上班，被别个说我的口音好难听我想说关你毛线事，我爱咋咋说。有些人都不想多说,[认同逻辑4],输出： [认同逻辑4]
土著的优越感不在于房子，在与全家上数下数几代人都在一个地方，逢年过节大家庭聚会其乐融融，说着成都话聊着生活过往，文化认同一致，口味一致，大家族氛围很有趣。优越感在于对城市的了解，变迁了如指掌，从小长的的区域每条路都是记忆和故事。优越感在于一起长大的同学朋友三十年后还是在一起吃吃喝喝而不是各自纷飞鸟兽散。优越感在与成都是我们以及我们的祖辈的家，我们看它在生长，有好的也有不太好的，但是我们都热爱它。什么买了几个房子值多少钱，只有外地人才锱铢必较....因为成都人都有房子，不管好坏，住着舒服就好，没那么大物欲。,"[认同逻辑3：Family Rootedness, 认同逻辑4：Linguistic-Cultural Recognition, 认同逻辑1：Vernacular Spatial Authority]","输出： [认同逻辑3：Family Rootedness, 认同逻辑4：Linguistic-Cultural Recognition, 认同逻辑1：Vernacular Spatial Authority]"
哈喽冒昧了，同成华区土著三代成都人，本人条件能看口音可查，能了解一哈不,[认同逻辑3：Family Rootedness，认同逻辑4：Linguistic-Cultural Recognition],输出： [认同逻辑3：Family Rootedness，认同逻辑4：Linguistic-Cultural Recognition]
有，比上海更甚，直接对你说你说的话（口音）他们听不懂，是哪个县份上的,[认同逻辑4：Linguistic-Cultural Recognition],输出： [认同逻辑4：Linguistic-Cultural Recognition]
可能外地人不希望自己孩子一口四川话吧 毕竟这口音真的好难听 还联姻都用上了,[认同逻辑4：Linguistic-Cultural Recognition],输出： [认同逻辑4：Linguistic-Cultural Recognition]
成都人确实爱吹牛，我亲戚就挺爱的，但是年轻一辈还是低调的，我表姐表妹去加拿大的，美国的，日本的都有，再不济我们也都读过大学，还是有点见识的，能来成都安家买房高薪的外地人，我们咋会看不起，我自己老公都是外地人，我可崇拜他了！我自己工作都是互联网圈子，基本上都是外地人，而且我很懒，不思上进，只想做我的技术，领导和公司核心很多都是外地人！但是你要说优越感我倒是有点，就是我家虽然是拆迁户，还在南门买了两套房，但是我依然努力的工作，月薪还很高，而且还低调朴实！从来不在同事面前吹我的房，也不在亲戚面前吹我的工资，我觉得也算是成熟的！这些勤劳智慧善良努力，应该就是我的优越感,[认同逻辑3：Family Rootedness（家族历史根基/个体成长史）]，[认同逻辑6：Social Embeddedness（社会根基深浅与经济地位象征）]，[认同逻辑4：Linguistic-Cultural Recognition（文化语言识别性）],输出： [认同逻辑3：Family Rootedness（家族历史根基/个体成长史）]，[认同逻辑6：Social Embeddedness（社会根基深浅与经济地位象征）]，[认同逻辑4：Linguistic-Cultural Recognition（文化语言识别性）]
让我来模仿一下 1.真正的成都人都是不上班的，南门那边都是外地来打工的。 2.天府新区那边一堆农民拆迁的，整体素质不高 3.华阳，龙泉也能叫成都？只认五城区哈 4.土生土长的本地人都是享受生活的 5.除了五城区，都是郊区 个人感想：这种觉得自己土著的人（包括且不限于成都，上海，北京）在外面但凡遇到个比他城市好优越的土著，就秒变舔狗，受气也只有哑起的份儿丢人现眼到极致的玩意儿。,[认同逻辑3：Family Rootedness，认同逻辑7：Occupational Typification，认同逻辑1：Vernacular Spatial Authority],输出： [认同逻辑3：Family Rootedness，认同逻辑7：Occupational Typification，认同逻辑1：Vernacular Spatial Authority]
给你讲个笑话，成都土著有优越感，哈哈哈哈哈哈,[认同逻辑3],输出： [认同逻辑3]
我来回答你吧，这个主要是看经济条件和双方家庭。比如本地土著，父母n套房，退休工资贼高的那种，自然是不可能愿意找县城里面务农，父母没得退休金的家庭。这个跟是不是成都土著没关系，放眼全国任何一个城市都是这样，毕竟婚姻需要门当户对。那么如果土著家庭条件一般，对方县城家里条件也差不多，且双方父母都有合适的退休金那也没得问题。总之就是对方其实是挑需不需要娃娃负担养老而不是挑地域。你试试县城有钱的他们还挑不挑？这个属于经济问题，跟地域没得太大的关系。,[认同逻辑3：Family Rootedness，认同逻辑6：Social Embeddedness，认同逻辑5：Functional Livability],输出： [认同逻辑3：Family Rootedness，认同逻辑6：Social Embeddedness，认同逻辑5：Functional Livability]
成都人均收入并不高，一个城市全部翻新之后，就把低收入人群赶出去了，没有低收入人群服务，生活成本就上去了，成都的老小区生活便利，低收入人群也住的舒服，包容性很强。,[认同逻辑5：Functional Livability],输出： [认同逻辑5：Functional Livability]
有每平方米一万以下的 一二环 老小区00年那种,[认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）],输出： [认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）]
毕竟好多家庭 不见得可以拿出一两百万买一个环境好点 还在二环内的房子 毕竟我爸妈在成都工作这么久 基本都在一二环内 朋友也在附近 买到郊区肯定不现实 买一二环的房子改造是最好的方案了,"[认同逻辑3：Family Rootedness（家族历史根基/个体成长史）, 认同逻辑6：Social Embeddedness（社会根基深浅与经济地位象征）]","输出： [认同逻辑3：Family Rootedness（家族历史根基/个体成长史）, 认同逻辑6：Social Embeddedness（社会根基深浅与经济地位象征）]"
紧靠二环边的伊泰天骄。各种噪音和高密度，但价格就是贵贵贵。,[认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）],输出： [认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）]
