comment_id,golden,golden_has_1,Qwen3-235B-A22B_few_shot,Qwen3-32B_no_cot,gemma-3-27b-it_zero_shot,Qwen3-32B_few_shot,Qwen3-32B_zero_shot,gemma-3-27b-it_no_cot,Qwen3-235B-A22B_zero_shot,gemma-3-27b-it_few_shot,Qwen3-235B-A22B_no_cot
comment_jinan_1_104,12,True,✗,✓,✗,✗,✗,✓,✗,✗,✗
comment_jinan_1_159,1,True,✓,✓,✓,✓,✓,✓,✓,✓,✗
reply_jinan_1_210_7,1,True,✓,✗,✓,✓,✓,✓,✓,✓,✓
reply_nanchang_2_1_5_1,13,True,✓,✓,✗,✓,✓,✓,✓,✓,✓
comment_nanchang_2_1_133,1,True,✓,✓,✗,✓,✓,✓,✓,✓,✓
comment_qingdao_103,1,True,✗,✗,✗,✓,✗,✗,✓,✓,✗
reply_qingdao_1_33,1,True,✓,✗,✗,✗,✗,✓,✗,✓,✗
comment_qingdao_10,136,True,✓,✓,✗,✓,✗,✗,✓,✓,✗
comment_qingdao_31,125,True,✓,✓,✗,✓,✓,✓,✓,✓,✓
comment_qingdao_50,1,True,✓,✓,✓,✓,✓,✓,✓,✓,✗
comment_qingdao_58,1,True,✓,✗,✓,✗,✗,✓,✗,✗,✓
comment_qingdao_63,17,True,✓,✓,✗,✓,✓,✓,✓,✓,✓
comment_qingdao_88,134,True,✗,✓,✓,✗,✓,✓,✓,✗,✗
comment_nanjing_1_5,1,True,✓,✓,✓,✓,✓,✓,✓,✓,✗
reply_nanjing_1_90_1,1,True,✓,✓,✓,✗,✓,✓,✓,✓,✗
reply_nanjing_1_160_4,15,True,✓,✗,✓,✗,✗,✓,✓,✗,✓
reply_nanjing_1_183_3,1,True,✓,✓,✓,✓,✓,✓,✓,✓,✗
comment_beijing1_1_7,1,True,✗,✓,✗,✓,✓,✓,✓,✓,✓
comment_beijing1_1_68,15,True,✗,✗,✓,✗,✗,✓,✓,✗,✗
comment_beijing1_1_76,1,True,✓,✓,✓,✓,✓,✓,✗,✓,✓
comment_beijing1_1_88,14,True,✓,✓,✓,✗,✗,✓,✗,✓,✓
comment_beijing1_1_137,1234,True,✓,✓,✗,✓,✓,✓,✗,✓,✓
comment_beijing3_1_11,15,True,✗,✗,✗,✗,✗,✓,✓,✓,✓
comment_beijing3_1_194,146,True,✓,✓,✓,✓,✓,✓,✗,✓,✓
comment_beijing3_1_236,1,True,✗,✓,✓,✓,✓,✓,✓,✓,✓
reply_beijing3_1_317_6,1,True,✓,✓,✓,✗,✓,✓,✗,✓,✓
reply_hangzhou_1_1_1_28,1,True,✓,✗,✓,✓,✓,✓,✓,✓,✓
reply_hangzhou_1_1_182_1,1,True,✓,✓,✗,✓,✓,✓,✗,✓,✓
comment_hangzhou_1_1_208,14,True,✓,✓,✗,✓,✓,✓,✓,✓,✗
comment_hangzhou_1_1_211,14,True,✓,✓,✓,✓,✓,✓,✓,✓,✗
reply_hangzhou_1_1_223_7,14,True,✗,✓,✗,✗,✗,✗,✗,✗,✗
comment_hangzhou_2_1_166,1,True,✓,✓,✗,✗,✗,✓,✓,✓,✓
reply_hangzhou_2_1_180_12,14,True,✗,✓,✗,✗,✓,✓,✗,✗,✗
reply_gz1_1_52_1,1,True,✓,✓,✓,✗,✗,✓,✓,✓,✓
reply_gz1_1_67_1,14,True,✗,✗,✗,✓,✓,✗,✗,✗,✗
reply_gz2_1_59_1,1,True,✓,✓,✗,✓,✓,✓,✓,✓,✓
reply_gz2_1_59_2,1,True,✓,✗,✓,✓,✓,✗,✗,✓,✗
reply_gz2_1_182_1,1,True,✗,✗,✗,✓,✗,✗,✓,✗,✗
comment_gz2_1_195,134,True,✗,✗,✗,✗,✓,✗,✗,✗,✗
comment_gz2_1_221,1,True,✓,✓,✗,✓,✓,✗,✓,✓,✓
comment_gz2_1_235,136,True,✓,✓,✗,✗,✓,✗,✓,✗,✓
comment_wuhan1_1_43,1,True,✓,✓,✓,✓,✗,✓,✓,✗,✓
comment_wuhan2_1_39,14,True,✓,✓,✗,✓,✓,✓,✓,✓,✗
comment_wuhan2_1_53,12,True,✗,✗,✗,✗,✗,✗,✗,✗,✓
comment_wuhan2_1_60,1,True,✓,✗,✗,✗,✗,✗,✓,✗,✗
reply_wuhan2_1_71_2,15,True,✓,✓,✓,✓,✓,✓,✗,✓,✓
comment_wuhan2_1_79,17,True,✓,✗,✗,✓,✓,✗,✓,✓,✗
reply_xm2_1_3_29,1,True,✗,✓,✗,✗,✓,✓,✓,✓,✓
comment_xm2_1_20,1,True,✓,✓,✗,✓,✓,✓,✓,✓,✓
comment_nanning1_1_6,13,True,✓,✓,✓,✗,✓,✓,✓,✓,✗
reply_nanning1_1_6_2,1,True,✗,✗,✓,✗,✓,✓,✓,✗,✓
comment_nanning1_1_49,1,True,✓,✗,✗,✓,✗,✓,✓,✓,✗
reply_nanning1_1_97_11,1,True,✓,✓,✗,✓,✓,✓,✓,✓,✓
comment_nanning1_1_165,1,True,✓,✓,✓,✓,✓,✓,✗,✓,✗
reply_nanning2_1_12_1,15,True,✗,✓,✗,✗,✗,✓,✓,✗,✗
comment_chongqing_1_229,1,True,✓,✓,✗,✓,✓,✓,✓,✓,✗
reply_changsha1_1_47_3,1,True,✓,✓,✗,✓,✓,✓,✓,✓,✓
comment_changsha1_1_75,16,True,✓,✓,✗,✓,✓,✓,✓,✓,✓
comment_changsha2_1_49,1,True,✓,✓,✓,✗,✗,✓,✗,✓,✗
comment_changsha2_1_50,1,True,✓,✗,✗,✓,✓,✓,✓,✓,✗
comment_changsha2_1_63,12,True,✗,✓,✓,✓,✗,✓,✓,✓,✗
