text,Golden,RL_Types,golden_parsed,predicted_parsed,error_type
一般说弯脚杆都是因为他们先挑衅，攻击你家乡你也不乐意啊，说成都的面最难吃，成都二环内市区破烂，口音难听，做人假打...真的成都人才是每天被外地人歧视,147,"认同逻辑4, 认同逻辑1","{1, 4, 7}","{1, 4}",missed
怎么说呢？成都人其实真的不排外，也不歧视，但是有一点就是他们爱喊三环外的弯脚杆，老一辈传下来的吧！因为三环外就变口音了，但是平时还是相处很好，有时候给朋友开玩笑也会说你个批弯弯叉河过来得 ，其实就是开玩笑没有歧视意思，现在年轻人还好，应该就是老一辈带下来的口头禅，我是这样理解的,147,"认同逻辑1, 认同逻辑4","{1, 4, 7}","{1, 4}",missed
哈哈哈哈 我土著我倒是还好，但我身边的土著亲戚朋友 确实看不起外地的 而且三环外的都不行 我亲戚还说我男朋友是农转非,12,"认同逻辑1, 认同逻辑6, 认同逻辑7","{1, 2}","{1, 6, 7}",missed
思想观念，口音，穿着品味,-,认同逻辑4,set(),{4},spurious
……如果北京上海土著来到成都也是外地人，是不是也歧视人家思想意识 口音 和穿着品味,4,"认同逻辑4, 认同逻辑1",{4},"{1, 4}",spurious
哈哈哈点了，大大方方承认不好吗，还要拿什么思想观念口音穿着品味当遮羞布，都21世纪了，不会真有人觉得只有城里人思想前卫穿着讲究品味高档吗至于口音，更加扯淡不是吗,-,认同逻辑4,set(),{4},spurious
认识的成都本地朋友中，没有这种人。网上一刷，这成都的鄙视链比北京都严重。比京二环的好像要牛气多了,-,认同逻辑1,set(),{1},spurious
成都二环内土著，问就是没优越感，我也没什么社交圈子，有几个朋友，大多不是本地人，也没觉得啥,13,认同逻辑3,"{1, 3}",{3},missed
有歧视的老土著挺多的，尤其是住在那种老破小的中年和老年人当然肯定也有很友好的土著，但是那种谈到三环外的5句话就有弯脚杆的土著占比还是很多,167,认同逻辑1,"{1, 6, 7}",{1},missed
成都人不是被骂的人吗？陈冠希。假打。口音难听。全是槽点。,-,认同逻辑4,set(),{4},spurious
都是外地人歧视成都口音的嘛,-,认同逻辑4,set(),{4},spurious
小时候有，因为确实不给房租，用完回家吃饭睡觉，过得比来成都打工的同事好很多，而且四川其他地方来打工的听说你是本地人，他们很羡慕哈，本来我没觉得咋的后来就越来越不觉得了，感觉小孩父母都是过节回老家，我女曾经说我们咋没有老家我说就成都呀，她还觉得不安逸，都没地方回人家也都在成都买了房定居了，所以也没啥优越不优越感觉了,-,"认同逻辑3, 认同逻辑6",set(),"{3, 6}",spurious
没有，倒是会被外地人歧视，说我说话口音牙尖弯酸，天天都说“电炒饭”,-,认同逻辑4,set(),{4},spurious
土著的优越感不在于房子，在与全家上数下数几代人都在一个地方，逢年过节大家庭聚会其乐融融，说着成都话聊着生活过往，文化认同一致，口味一致，大家族氛围很有趣。优越感在于对城市的了解，变迁了如指掌，从小长的的区域每条路都是记忆和故事。优越感在于一起长大的同学朋友三十年后还是在一起吃吃喝喝而不是各自纷飞鸟兽散。优越感在与成都是我们以及我们的祖辈的家，我们看它在生长，有好的也有不太好的，但是我们都热爱它。什么买了几个房子值多少钱，只有外地人才锱铢必较....因为成都人都有房子，不管好坏，住着舒服就好，没那么大物欲。,346,"认同逻辑3, 认同逻辑4, 认同逻辑1","{3, 4, 6}","{1, 3, 4}",missed
成都人确实爱吹牛，我亲戚就挺爱的，但是年轻一辈还是低调的，我表姐表妹去加拿大的，美国的，日本的都有，再不济我们也都读过大学，还是有点见识的，能来成都安家买房高薪的外地人，我们咋会看不起，我自己老公都是外地人，我可崇拜他了！我自己工作都是互联网圈子，基本上都是外地人，而且我很懒，不思上进，只想做我的技术，领导和公司核心很多都是外地人！但是你要说优越感我倒是有点，就是我家虽然是拆迁户，还在南门买了两套房，但是我依然努力的工作，月薪还很高，而且还低调朴实！从来不在同事面前吹我的房，也不在亲戚面前吹我的工资，我觉得也算是成熟的！这些勤劳智慧善良努力，应该就是我的优越感,-,认同逻辑6,set(),{6},spurious
让我来模仿一下 1.真正的成都人都是不上班的，南门那边都是外地来打工的。 2.天府新区那边一堆农民拆迁的，整体素质不高 3.华阳，龙泉也能叫成都？只认五城区哈 4.土生土长的本地人都是享受生活的 5.除了五城区，都是郊区 个人感想：这种觉得自己土著的人（包括且不限于成都，上海，北京）在外面但凡遇到个比他城市好优越的土著，就秒变舔狗，受气也只有哑起的份儿丢人现眼到极致的玩意儿。,-,"认同逻辑1, 认同逻辑6, 认同逻辑7",set(),"{1, 6, 7}",spurious
给你讲个笑话，成都土著有优越感，哈哈哈哈哈哈,-,认同逻辑3,set(),{3},spurious
我来回答你吧，这个主要是看经济条件和双方家庭。比如本地土著，父母n套房，退休工资贼高的那种，自然是不可能愿意找县城里面务农，父母没得退休金的家庭。这个跟是不是成都土著没关系，放眼全国任何一个城市都是这样，毕竟婚姻需要门当户对。那么如果土著家庭条件一般，对方县城家里条件也差不多，且双方父母都有合适的退休金那也没得问题。总之就是对方其实是挑需不需要娃娃负担养老而不是挑地域。你试试县城有钱的他们还挑不挑？这个属于经济问题，跟地域没得太大的关系。,-,认同逻辑6,set(),{6},spurious
成都人均收入并不高，一个城市全部翻新之后，就把低收入人群赶出去了，没有低收入人群服务，生活成本就上去了，成都的老小区生活便利，低收入人群也住的舒服，包容性很强。,-,"认同逻辑5, 认同逻辑6",set(),"{5, 6}",spurious
有每平方米一万以下的 一二环 老小区00年那种,16,（不予标注）,"{1, 6}",set(),missed
毕竟好多家庭 不见得可以拿出一两百万买一个环境好点 还在二环内的房子 毕竟我爸妈在成都工作这么久 基本都在一二环内 朋友也在附近 买到郊区肯定不现实 买一二环的房子改造是最好的方案了,16,"认同逻辑6, 认同逻辑5","{1, 6}","{5, 6}",missed
楼梯房更有安全感，比如火灾，比如高层电梯事故。大平层就是个伪改善伪豪宅概念，天王老子来了我只认有天有地的联排别墅或者独栋别墅，啥都是自己说了算，不住的话也可以开公司开工作室，三环内的也有六七百个W的,-,"认同逻辑5, 认同逻辑6",set(),"{5, 6}",spurious
我也一直以为只要是哈尔滨辖区内不管市里还是县里的都可以算是哈尔滨市的人 直到我在小红书看到有人说县里的都是农村的 不属于哈尔滨人 他们老哈尔滨人只有道里的,2,"认同逻辑2, 认同逻辑1",{2},"{1, 2}",spurious
但是区和县还是不一样的，周边县市的只说自己是哈市的，也没什么，毕竟属于哈市辖区范围内，但是说自己是主城区土生土长的，也挺搞笑的。,1,"认同逻辑1, 认同逻辑2",{1},"{1, 2}",spurious
我家是双城的，后来工作考到了南岗。首先声明我一直说我是双城人，放心我没有说我是哈尔滨。最近在抖音上看到，因为口音然后有这种区分争论。其实按行政归属来说，9区12县的都可以说自己是哈尔滨的呀。看到抖音这些争论，我更要说我是双城人了，我从来没有觉得说是哈尔滨人能为我提升什么档次。也没有觉得说双城有什么羞愧的。别人说可能也只是为了方便别人知道家乡大概是什么位置。另一方面，每一个城市的发展都是由在本城市同生活奋斗的人一起共同努力的。无论你是老哈尔滨人还是新哈尔滨人。,2,"认同逻辑3, 认同逻辑2",{2},"{2, 3}",spurious
9区12县都是哈尔滨……老哈尔滨人都认为早期的七区（还有被取消的动力区和太平区）五县，现在是哈尔滨市区主要包括道里区、南岗区、道外区、平房区、松北区、香坊区、呼兰区、阿城区、双城区。其他算郊县。所以啥哈尔滨人……唉，都是中国人，行政区域内，全都是哈尔滨人。没必要,2,"认同逻辑1, 认同逻辑2",{2},"{1, 2}",spurious
都是，又不是不属于哈尔滨,-,认同逻辑2,set(),{2},spurious
那个某某区是指哪个区 把他除外那他到底归属于哪个市 而且我也说了 就这种观念简直是无法理解 你说电视上说一个区除外可以 但还有周边那么多县呢 你自己搜搜这种帖子评论下边有多少这种想法 县也不算哈尔滨的 个别的区也不算哈尔滨的 有些“老哈尔滨人”一个劲把这些都排除 那我就想问问这些你们不承认的地方他到底属于哪啊 他是属于大庆的？齐齐哈尔的？,2,"认同逻辑1, 认同逻辑2",{2},"{1, 2}",spurious
您大可不必费心向我论证哈尔滨市区的'高贵血统'。你们用口音腔调以及习惯当身份标尺，把市政惠民政策当作地域分界线，这种自诩优越的戏码实在令人莞尔。按这个逻辑，红肠是不是都得查查是不是县里生产的呀？要是县里生产的，那是不是都不能叫哈尔滨红肠？还有冰雪大世界售票规则不过是行政划分的产物，怎么就成了贵贱判书？作为大庆人，我们倒有个朴素的认知：五区四县同属一座城，油田子弟和湿地农家的孩子都在磕头机旁长大。这里的文明尺度从不丈量户口本上的地址——毕竟真正的体面，向来与敲键盘贬低他人的姿势成反比。,467,"认同逻辑1, 认同逻辑2, 认同逻辑4","{4, 6, 7}","{1, 2, 4}",missed
一个哈尔滨还分起来是不是正不正宗的哈尔滨人了市里的房价也没比我周边县城贵多少什么时候贫富差距大到北上广那样再来分吧,16,认同逻辑6,"{1, 6}",{6},missed
以前是啊，后来城市发展都往周边建，老城区拆迁拆不起。就是最早繁华的有可能城市发展过快变成城中村。但是哈尔滨不至于，现在就是哈西和群力火一点，江北那边可能受影响较大没火起来。最早火实际是哈西，那时候群力没什么人。一般都首选哈西，群力买房人少。后来群力发展起来了，感觉比哈西还更繁华一些。住城市中心的好处，可能现在不明显了，以前没那么多公交线路，没地铁，打车又贵，更买不起车的年代，在中心住去哪都方便快捷。现在不一样了，实际去哪不堵车都差不多。我在北京一侧五环住，另一侧三环上班。公交倒地铁三趟再倒公交再走，两个半小时。你想想一天五个小时在路上，那耽误多少时间。北京交通那是啥也干不了，想看书？歌都听不了,-,认同逻辑5,set(),{5},spurious
这个范围内的才叫本地人。。。我爷爷辈是肥东的当初来市区还要花钱买合肥户口才行。我出生时在省立医院步行街那个。那时候合肥人口才一百来万。我上学是工大附中。合肥工业大学就在现在南一环那。大学墙外就是农村田地，我们小时候爬墙过去炸菜地，趴祖坟。就那时候我们还被人说是郊区的。所以你觉得真的老合肥有多少人,13,"认同逻辑2, 认同逻辑3, 认同逻辑1","{1, 3}","{1, 2, 3}",spurious
合肥一直都是移民城市，我93年到合肥，从幼儿园到高中，班上所谓纯正的合肥人就没几个，基本都是90年代跟着父母来的，都是普通话交流，合肥话都不会讲，你这些本地同事基本也应该是小时候移民过来的为主，就像我们这些人在别人看都是本地的，因为幼儿园就来了，但是其实也不是土生土长的,3,"认同逻辑3, 认同逻辑4",{3},"{3, 4}",spurious
发展起来的晚，年纪大一点的普遍受文化教育水平不高，很多拆迁户（没有歧视的意思，但确实老年人较多 素质确实有待提高）,4,"认同逻辑6, 认同逻辑7",{4},"{6, 7}",missed
还有交通特别乱，机动车从不让行人，电动车逆行，到处乱窜不遵守交通规则,5,,{5},set(),missed
啊？我03年的，我妹12年的，我们一家人平时交流都是合肥土话周围的亲戚基本上也都讲合肥话,4,"认同逻辑4, 认同逻辑3",{4},"{3, 4}",spurious
哈哈，新来的都在疯狂踩老城区，因为他们恰好赶上的房价最高的那一波,5,认同逻辑6,{5},{6},missed
土生土长合肥人表示14年以前根本舍不得离开合肥，好爱这个城市，14年以后越来越不爱在合肥待着了，每年想办法溜出去给自己放假，感觉每个城市都比合肥新鲜，没有繁杂的交通环境，不用走在过个马路和各种电瓶车碰撞,5,"认同逻辑3, 认同逻辑5",{5},"{3, 5}",spurious
合肥土著人，感觉合肥的名片从包拯故里改成大湖名城以后，面积大了不少，交通也在变的便捷，相应的民生政策并没有积极跟上，希望越来越好，做到真正的宜居,-,"认同逻辑3, 认同逻辑5",set(),"{3, 5}",spurious
我老家也是大圩的欸，不过好像大圩拆迁房的房价并不高吧，是什么葡萄家园吧,-,认同逻辑3,set(),{3},spurious
新站我在那边住了几年生活挺方便的 有地铁1号线 三号线 四号线 新站那优势是那边是市区产证 ，整体的环境一般， 磨店那个商业街我也去了 都是一些小吃 奶茶店 平时没什么人，新站因为很多地区都被定位工业区 ，新站那边现在主要靠 京东方 维信诺 和康宁这几个大厂来支撑 。至于后期的五星级酒店和普通人也没太大关系。,-,"认同逻辑2, 认同逻辑7",set(),"{2, 7}",spurious
合肥土著告诉你，政务区只是从经济上划分的独立区域，行政上依然是属于蜀山区。往大了说就像深圳和国家的关系一样，深圳是经济特区的同时，它也是国家的城市区域，但它代表不了国家（ps：包括大部分合肥本地人提到天鹅湖都是说蜀山区天鹅湖）,12,认同逻辑2,"{1, 2}",{2},missed
政务区是功能区，蜀山是行政区，政务区归属于蜀山区，功能区只是方便市里管理做的划分。,-,认同逻辑2,set(),{2},spurious
滨湖的都说滨湖宜居，吃喝玩乐都方便。不是杠，就是真的想问下具体是滨湖哪块都做到这样我认识的亲戚朋友在滨湖的，感觉地方大是大，但是人好少，也没什么好的商业圈一直都好好奇,-,认同逻辑5,set(),{5},spurious
首先看你怎么定义发展，1.政府意义上发生最好的肯定是包河区，一系列数字亮瞎眼；2.从产业就业角度，发展好的是高新区，平头百姓家靠个人努力能达到的高度；3.从个人体验上来说，感受发展最好的是政务区，相对比较新，配套也成熟，居住体验不错。4.从真正的功能体验上来说，外围的发展和我护城河内的老居民来说关系不大，顶级的教育质量、医疗配套、核心商业都有，房子要那么大干什么？舒服便捷第一位，送孩子上学步行；去省立安医不用一去就要花半天；晚上饿了下了楼走5分钟就有的烟火气；单位大院邻里的热火劲；父母年纪大了东西拿不动时都能碰到孩子发小搭把手的远亲不如近邻的熟人圈。,6,"认同逻辑5, 认同逻辑6",{6},"{5, 6}",spurious
庐阳区橡树湾，真的很棒！交通方便，地铁方便，有商场，小区环境好，物业好，学区好，周围设施也好，住了就不想走了…第二套房子准备还买橡树湾或者附近,-,认同逻辑5,set(),{5},spurious
这个不知道反正包河区公务员分数线最高，高的离谱,-,认同逻辑7,set(),{7},spurious
发展这块，就产业而言，综合下来高新是大哥。就环境而言，滨湖是最舒服的。就烟火气而言个人感官庐阳最有感觉。如果按行政区域来算，蜀山区无疑，老城新区产业环境都有的。,-,认同逻辑2,set(),{2},spurious
政务好不好不知，消费反正是最高的庐阳虽然已经变成老城区，整体看比较适合生活，毕竟有学区和医院，还有四通八达的地理位置的便利蜀山、经开、包河感觉差不多，包河现在有点逐渐开始攀升的感觉瑶海环境不行，发展一般，不高不低滨湖、新站没待过，不好评论。,-,认同逻辑5,set(),{5},spurious
没有，我土生土长合肥蜀山区人就喜欢绿化好人少的居住环境，所以大蜀山附近和滨湖是我买房首选,3,"认同逻辑3, 认同逻辑5",{3},"{3, 5}",spurious
我一开始不喜欢老城区，觉得旧旧的。结果政务区住四年回老城区真香安医，中医院，省立随便选，电动车10分钟。007，大老刘，各种美食街，小吃店，出门就到。送孩子上学10分钟内。周边都是菜场。爱死了,-,认同逻辑5,set(),{5},spurious
只要上班通勤不堵车的，或是有地铁直达的，住哪里都好～因为各个区都有自己的商业圈，外卖也很方便。,-,认同逻辑5,set(),{5},spurious
瑶海排除，乱死了尤其龙岗这边长江批发市场这里，绿灯过斑马线一堆开电瓶车运货的一点也不看，就上来撞人,7,,{7},set(),missed
其实我觉得合肥总体生活体验都挺好的反正哪里都交通便利,-,认同逻辑5,set(),{5},spurious
作为土生土长本地人目前居住滨湖，但还是喜欢我庐阳啊,-,"认同逻辑3, 认同逻辑1",set(),"{1, 3}",spurious
交通不便直接pass,-,认同逻辑5,set(),{5},spurious
天天堵车，开车没地方停，没有快速路，红绿灯太多，住一下交通方便的地方就有对比,-,认同逻辑5,set(),{5},spurious
我从地图上研究过，最方便的是华府骏苑那一块，距离各大商业区，银泰之心城万象城啥的，距离都比较平均。唯一缺点是周围好工作很少,-,认同逻辑5,set(),{5},spurious
还有双地铁4.6也是很方便，就是新房二手一起疯狂卷，还有五里庙和朗溪路高架不利因素美中不足,-,认同逻辑5,set(),{5},spurious
肥东必须是最差，工业园不说了，空气环境不行，交通也不行，设施也跟不上 ， 下雨就涝，地震中心,-,认同逻辑5,set(),{5},spurious
瑶海有烟火气而且瑶海设施陪套齐全，生活消费低，并且瑶海交通方便,-,认同逻辑5,set(),{5},spurious
瑶海区还行吧，尤其是一环二环那里，我家门口有三号线地铁和能直通市中心的公交车，区内有38中这样的好初中,-,认同逻辑5,set(),{5},spurious
是真的很方便 就是房价贵了噻，改善也没有选择,-,认同逻辑5,set(),{5},spurious
我也喜欢七里塘，摆摊吃 真的很方便，去步行街也很方便，离省医院也不远，也不用下班开车去挤那边,-,认同逻辑5,set(),{5},spurious
"个人感觉目前济南市区的范围:
 东线: 凤凰路-凤凰北路（东边发展太快，二环东肯定打不住了）
 西线: 二环西高架（说纬十二-郎茂山路也可以）
 南线: 二环南高架（无任何争议）
 北线: 北园高架-工业北高架（无任何争议）
 欢迎理性讨论，拒绝无脑发言。该区域划分按照济南现有发展程度所制，无任何地域歧视",15,认同逻辑1,"{1, 5}",{1},missed
我知道济南历史文化名城，论经济青岛不算是后起之秀吗，济南现在历下市中发展比较好，资源倾斜都感受不到吗，我遇到的都按发展谈论市区，可能和年轻人讨论比较多，基本都看发展，大家公认青岛发展会比济南好，但现在新建地铁，可能也是新机遇,5,,{5},set(),missed
所以并不是所有的老济南人都认准那一块，你要搞清楚，就天桥槐荫那块小时候呆了20年，等有钱买房了第一时间搬到领秀城附近，这才是老济南的缩影,1,认同逻辑5,{1},{5},missed
洪楼很方便，可以坐地铁，推荐华山湖公园，环联夜市，洪楼教堂，省美术馆博物馆啥的都可以去看看,-,认同逻辑5,set(),{5},spurious
章丘人，上了大学说自己是济南的，别的区的觉得我碰瓷。。。。。说的和我们很想并入你们一样章丘市不比区大气啊？,2,"认同逻辑2, 认同逻辑1",{2},"{1, 2}",spurious
呃，有没有想过被划进来的也不喜欢济南啊，纯纯被济南吸血光靠济南市区早就让烟台超了,12,认同逻辑2,"{1, 2}",{2},missed
差不多吧，这个和济南公共交通建设网络有关系吧，地铁基本上就围着城郊走一圈，市区去东南西北如果乘坐公共汽车或者打车也蛮麻烦的,5,,{5},set(),missed
龙洞似乎并不介意自己属不属于济南市区，只知道自己最贵就可以了,5,认同逻辑6,{5},{6},missed
你画的小商品批发市场有汽车站有动物园的 也不算市区啊,5,认同逻辑1,{5},{1},missed
很小的时候去济南，觉得历城就是郊区了，至于莱芜，我们本来就是刚合过去的，大多数的莱芜人在归属感上还是认同自己是莱芜人，个人观点不喜勿喷,1,"认同逻辑1, 认同逻辑2",{1},"{1, 2}",spurious
历下:设施齐全去哪里都方便 市中:万达大观园老商埠偶尔逛逛 天桥:小时候买衣服长大了搞装修偶尔去逛农贸市场 高新:都是上流社会的人 绿化挺好 槐荫:大剧院西客站宜家（？忘了是不是在槐荫了） 历城:没去过但是知道在市里 章丘长清平阴:已经不在市里了,15,"认同逻辑1, 认同逻辑6","{1, 5}","{1, 6}",missed
南昌很多中心地区，只是不同的地方不同的定位，如果说哪里最好，按照房价来，是红谷滩,-,认同逻辑6,set(),{6},spurious
红谷滩我小时候是荒郊野岭，后来新城区建起来了，现在如果你要拿出去比面子，用红谷滩那块没毛病，但是你要问我们本地人，市中心一定只会是八一广场，我小时候对南昌的记忆也一定是那边,1,"认同逻辑1, 认同逻辑3",{1},"{1, 3}",spurious
土生土长南昌人告诉你，南昌的市中心是东湖区八一广场中山路孺子路等那一片，红谷滩以前很荒废，后来发展起来的，所以红谷滩那边很多外地人，但现在确实红谷滩发展的很好,15,认同逻辑1,"{1, 5}",{1},missed
老市中心和新市中心的区别，从小在红谷滩长大，以前是叫昌北的，小时候到处都是一片荒芜，鸟不拉屎的地方，都是说过了八一桥才是真南昌，所以去东湖那边都会说去南昌。后面红谷滩才慢慢开发起来，建了很多大厦，开设地铁，引入CBD，包括各级政府的迁移，也改名从红谷滩新区到红谷滩区了，现在说是南昌的市中心我觉得没毛病。,15,认同逻辑1,"{1, 5}",{1},missed
原来省政府在八一广场那，八一广场一带就是市中心，中山路、步行街，大点范围可以说市中心是东湖西湖区。小时候逛街都是去八一广场、中上路、万寿宫、步行街。后来，孟建柱到了江西，用上海模式建立了一江两岸，发展了红谷滩，市政府迁了过去，政治中心的转移，也使得红谷滩发展越来越好，包括后来发展的新建县。我还记得小时候和妈妈去昌北，那时候还得坐小巴车、车上也脏，真的就是去了农村。后来红谷滩开始发展的时候，我去新建二中读书，我依然还记得那时候上一周学回来，脚上全是泥，我爸开玩笑说我是耕田回来的。没有贬义的意思啊！现在红谷滩和新建区都发展的很好，我也很喜欢我的母校。就是突然看到这个话题，想起来小时候。,1,"认同逻辑1, 认同逻辑5",{1},"{1, 5}",spurious
画多了，应该就是市南+市北（不能过北岭水清沟）+崂山（不能过金家岭），这些才是青岛市里the city哈哈。----土生土长的青岛小嫚现在是老阿姨一枚,1,"认同逻辑1, 认同逻辑3",{1},"{1, 3}",spurious
我之前去青岛玩，他们说房价最贵的区是在崂山区，可为什么市南区会看不起城建比较新的崂山区，还觉得对方乡下，不懂... 是类似浦西浦东那样吗？,-,认同逻辑1,set(),{1},spurious
作为土生土长青岛市南人，真不懂谁在搞这些鄙视链！青岛市区上了年纪的人，有几个人在胶南胶州没有老家的亲戚？还不是爷爷辈那辈才进城？另外，市区的高考升学率一直被县级市的学校吊打，当然这和学校不卷有很大关系，很多人后来出国为主。论经济，县级市也出了很多驰名企业。现在的香港路，我幼儿园那阵还是小村庄，这个庄，那个庄的。,-,"认同逻辑3, 认同逻辑1, 认同逻辑6",set(),"{1, 3, 6}",spurious
我家闺女户口就是平度的，因为她爸爸是土生土长平度人，我是济南的，我们现在都在济南生活，我从小就教孩子说是济南人，老家平度的，千万别说是青岛的，她爸爸经常自称青岛人，被人家青岛人笑话,1,"认同逻辑2, 认同逻辑1",{1},"{1, 2}",spurious
从我爸妈口中说的，我理解的，我父母年轻时在市南区就已经住楼房了，别的区平房多，再加上交通不便利，出行远环境破旧，才出现的鄙视链而已。,-,"认同逻辑1, 认同逻辑5",set(),"{1, 5}",spurious
奇了怪了。。在青岛土生土长二十五年了，老家平度，从小在李沧长大，后来父母家搬去了城阳，工作后市北住过，现在住在李村，公司在崂山，那些传播什么青岛市区鄙视链的什么市里人看不起哪哪哪人的什么排外的到底是谁啊我咋啥也没感觉到呢,3,"认同逻辑1, 认同逻辑3",{3},"{1, 3}",spurious
碰到过一个从外地搬来青岛的 住在市南区 觉得自己老高贵了 说什么李沧是城乡结合部 崂山全是拆迁户 莱西平度是偏远山区青岛土生土长本地人只会觉得我小岛岛哪都好 最爱我小岛岛,13,认同逻辑1,"{1, 3}",{1},missed
李村属于即墨方言,-,认同逻辑4,set(),{4},spurious
我市南土生土长的，上学的时候去了烟台，大学毕业回家后，嫁了胶州小伙子，因为孩子上学所以我们就住胶州了，我家市区有七八套房子，胶州城阳也都有房子。我爸妈现在住崂山，我每次回家邻居都会说我终于从村里进城了，有一次遇到问我一句你在胶州是不是住不上有暖气的房子…呵呵有啥好说的呢，嘴长在别人身上爱说啥说啥呗。,136,"认同逻辑3, 认同逻辑1, 认同逻辑5, 认同逻辑6","{1, 3, 6}","{1, 3, 5, 6}",spurious
我是真的被青岛大姨鄙视过啊，很严肃的告诉我，你一个外地人，又住黄岛，你跟青岛根本不沾边！我一想呢也对，我是辽宁的啊，虽然房子在黄岛，那也就只是个贵一点的物品而已，你不认为我是青岛的也没问题啊！我又不计较，我通过自己的努力在青岛工作、赚钱、安家落户、积攒了自己的生活圈子和朋友圈子，难道我需要一个渔民的后代来承认我的身份吗？不需要的，我去你青岛人开的饭店吃饭，点两个菜你还不是要规规矩矩端上来给我？除非你有骨气，不做青岛市区以外人的生意，那我没办法，我去菜市场青岛人的摊子买条鱼，你也不敢半斤说八两吧？我坐个出租车是你青岛人开的，你也不敢拒载吧？反正你不承认没关系的，认知局限又有什么办法呢？,-,"认同逻辑2, 认同逻辑5, 认同逻辑6, 认同逻辑1",set(),"{1, 2, 5, 6}",spurious
完全就从来不是 只是近十几年行政合并了仅此而已 之前 人家都是跟青岛平级的 都是叫 即墨市 胶州市 莱西市 胶南市 平度市 大家都是市 跟青岛市有什么关系？ 因为这是事实 不知道为什么要喷 这个年代是不是实话不能说？根本不存在什么歧视 看不起 大家都是平级市区 不分上下 大家说话口音完全不一样他部分习惯也不同 你就不是我 你为什么非得说是我？？你是我 那我是谁？这很奇怪 我很痛苦,24,认同逻辑2,"{2, 4}",{2},missed
因为这自古以来都是即墨的地盘，所以土著是即墨人，这里的即墨指的是除平度莱西胶州黄岛以外的所有青岛地区，不要说平度那个即墨，那个是上古即墨邑，我说的是从隋朝开始一直到清末的大一统的即墨县（大一统指人文方言文化习俗统一）,1,"认同逻辑1, 认同逻辑4",{1},"{1, 4}",spurious
大学两个舍友一个胶州的一个城阳的 俩人互相鄙视 城阳舍友说胶州不属于青岛（说胶州没划为区）胶州舍友说城阳啥啥都没有之后胶南即墨被划为区 胶州舍友气半死在宿舍说胶南穷为啥不把胶州划进区城阳舍友就特别希望找市南市北区男朋友 同级有个黄岛男生对她很好 俩人经常一起吃饭出去玩啥的 以为他俩能在一起但是城阳舍友嫌男生是黄岛的最后也不了了之了,125,"认同逻辑1, 认同逻辑2, 认同逻辑6","{1, 2, 5}","{1, 2, 6}",missed
