text,Golden,RL_Types,golden_parsed,predicted_parsed,error_type
我也想说，我那个农村老板在成都买房了，经常给我说我现在也是成都本地人了，创业初成功经常在那吹嘘自己🐮逼，神戳戳的，他不在别的同事面前说他是成都户口了因为其他人不是土著,26,"认同逻辑6, 认同逻辑5","{2, 6}","{5, 6}",missed
并没有啊，成都有钱的又不一定是土著，绝大部分土著只是不愁房子住，另外有多余的房子可以出租出去，所以工资那么低很多人还是过得很开心月收入足够支撑不错的生活水平了。成都人天生一副你有钱那是你的事，我不去羡慕各过各的谁也不碍着谁所以大家才悠然自得，那些个有钱的区域又不属于是给土著的，多是外地赚了钱来成都消费或者安置的,46,[Social Embeddedness],"{4, 6}",set(),missed
我崇州的嘛 我们身边的人被问到是哪里的 都直接说崇州 不会说是成都的从小到大耳濡目染的就是成都人都觉得三环以外的不算成都的,1,"Vernacular Spatial Authority, Family Rootedness",{1},set(),missed
我觉得哪个地方的土著都会多少有点优越感吧……毕竟是土生土长本地人 对吧,3,[认同逻辑3],{3},set(),missed
成都土著的优越感是最强的，没有之一那种。比如他们在强调自己血统纯正的时候，往往会在前面加上土著或土生土长这样的词语。外地的不用说了，还没资格让土生土长的5城区成都人看不起，有资格被看不起的，首先你要是三环外但是大成都的弯脚杆和211，或者是后面来但是获得了成都省护照的新成都。,137,"认同逻辑1, 认同逻辑2, 认同逻辑3","{1, 3, 7}","{1, 2, 3}",missed
我是成都土著，我觉得还好！说实话哈，只是确确实实有一点受不了一些口音。但是不存在什么问题强强联合，成都本地人也很多撇火药哈。,4,[认同逻辑4],{4},set(),missed
三环外的弯脚杆咋个敢嫌弃哪个,17,Vernacular Spatial Authority,"{1, 7}",set(),missed
听过同事吐槽，她老公是二环的，她家在二环也有房子，但是户口是青白江的，然后她老公的亲戚摆龙门阵就一口一个你们乡坝头咋个咋个,-,"认同逻辑1, 认同逻辑2",set(),"{1, 2}",spurious
三环外不配，而且可能还同时被外地人歧视,1,"认同逻辑1, 认同逻辑6",{1},"{1, 6}",spurious
作为一环路穷土著我真没觉得我有优越感，但是遇到一部分四川其他地方的朋友就会暗戳戳地想象“她是不是有优越感”，我成都朋友在外面说个成都话，都会被不知情的人指责她学成都口音装成都人,14,认同逻辑4,"{1, 4}",{4},missed
不知道什么时候开始我们老成都人就开始被人骂看不起人了，大多是普通家庭的老成都谁管你哪来的，为什么说成都包容度大就是不管别人的事啊，归属感不强不融入当地不是本地人的错,4,[认同逻辑4],{4},set(),missed
锦江区二环攀成钢必须焊死在脑门上,1,[认同逻辑1],{1},set(),missed
一般说弯脚杆都是因为他们先挑衅，攻击你家乡你也不乐意啊，说成都的面最难吃，成都二环内市区破烂，口音难听，做人假打...真的成都人才是每天被外地人歧视,147,"认同逻辑1, 认同逻辑4, 认同逻辑6","{1, 4, 7}","{1, 4, 6}",missed
我也三环外甚至都不会说自己是成都人，除非给外地人介绍时再加个成都成都土著一般指的中心城区吧,1,[认同逻辑1],{1},set(),missed
怎么说呢？成都人其实真的不排外，也不歧视，但是有一点就是他们爱喊三环外的弯脚杆，老一辈传下来的吧！因为三环外就变口音了，但是平时还是相处很好，有时候给朋友开玩笑也会说你个批弯弯叉河过来得 ，其实就是开玩笑没有歧视意思，现在年轻人还好，应该就是老一辈带下来的口头禅，我是这样理解的,147,"认同逻辑1, 认同逻辑4","{1, 4, 7}","{1, 4}",missed
哈哈哈哈 我土著我倒是还好，但我身边的土著亲戚朋友 确实看不起外地的 而且三环外的都不行 我亲戚还说我男朋友是农转非,12,"认同逻辑1, 认同逻辑7, 认同逻辑3","{1, 2}","{1, 3, 7}",missed
以前主要是大邑口音真的重，现在还好了吧现在在成都的外地人特别歧视成都土著,4,"认同逻辑3, 认同逻辑4",{4},"{3, 4}",spurious
我爷爷老家是大邑县那边的，但是现在我爷爷的全家亲戚都已经全部搬到成都来了，并且有可能是我们沟通交流确实比较少，我印象当中他们没有过说可能要回到祖籍地去探望一下之类的。然后到我爸爸这一代就已经开始说自己就是土生土长成都人了。,3,[认同逻辑3],{3},set(),missed
思想观念，口音，穿着品味,-,认同逻辑4,set(),{4},spurious
……如果北京上海土著来到成都也是外地人，是不是也歧视人家思想意识 口音 和穿着品味,4,"认同逻辑1, 认同逻辑4, 认同逻辑6",{4},"{1, 4, 6}",spurious
认识的成都本地朋友中，没有这种人。网上一刷，这成都的鄙视链比北京都严重。比京二环的好像要牛气多了,-,认同逻辑1,set(),{1},spurious
成都二环内土著，问就是没优越感，我也没什么社交圈子，有几个朋友，大多不是本地人，也没觉得啥,13,认同逻辑1,"{1, 3}",{1},missed
小时候没有成都土著这个概念，这十年也不知道是谁定义了这个概念,-,认同逻辑1,set(),{1},spurious
没有什么优越感。土著，从长顺街出来的，从上班就开始羡慕当年周边的城乡结合部，有分红，有拆迁，有土地。到现在40+，就羡慕从农村来的，过年可以回乡下放火炮，杀猪，天然无污染环境。读以前的锦小时，很多同学都是军区后勤的家属，也羡慕啊，什么都有优待。反正，没有觉得土著有太多优越感，不过还是很怀念以前长顺上街，中街以及长发街附近的老邻居些。,16,"[认同逻辑6, 认同逻辑1]","{1, 6}",set(),missed
我家反正是三环外城乡结合部，周边啥都有反正不进城里玩一般,1,"认同逻辑1, 认同逻辑5",{1},"{1, 5}",spurious
有歧视的老土著挺多的，尤其是住在那种老破小的中年和老年人当然肯定也有很友好的土著，但是那种谈到三环外的5句话就有弯脚杆的土著占比还是很多,167,"认同逻辑1, 认同逻辑3","{1, 6, 7}","{1, 3}",missed
好像！！？你说的有道理！！！不过成都土著没有拆迁户过的轻松就不明白这优越感哪里来的hhh,6,"Family Rootedness, Social Embeddedness",{6},set(),missed
成都人不是被骂的人吗？陈冠希。假打。口音难听。全是槽点。,-,认同逻辑4,set(),{4},spurious
其实从小学到上班，身边就很多外地同学同事了。更不用说上班快十年，几家公司，只遇到过几个本地人。外地朋友些太多了哈，正常普通人没得啥子优越感的，大家都是打工人。但是有些拆迁户老嬢嬢是会有些优越感，让人觉得烦。外地朋友觉得不舒服可以不用理她们。还有结婚的问题，其他人我不晓得，但是我们这一批基本都是同学介绍的，所以大部分年纪都同年或者差不多，所以本地结婚的多。但是也有嫁到外地和取外地姑娘的同学，都是有的哈，不要说的那么笃定。,6,"认同逻辑3, 认同逻辑6",{6},"{3, 6}",spurious
小时候有，因为确实不给房租，用完回家吃饭睡觉，过得比来成都打工的同事好很多，而且四川其他地方来打工的听说你是本地人，他们很羡慕哈，本来我没觉得咋的后来就越来越不觉得了，感觉小孩父母都是过节回老家，我女曾经说我们咋没有老家我说就成都呀，她还觉得不安逸，都没地方回人家也都在成都买了房定居了，所以也没啥优越不优越感觉了,-,"认同逻辑3, 认同逻辑6",set(),"{3, 6}",spurious
没有，倒是会被外地人歧视，说我说话口音牙尖弯酸，天天都说“电炒饭”,-,认同逻辑4,set(),{4},spurious
都江堰的在成都上班，被别个说我的口音好难听我想说关你毛线事，我爱咋咋说。有些人都不想多说,4,[认同逻辑4],{4},set(),missed
土著的优越感不在于房子，在与全家上数下数几代人都在一个地方，逢年过节大家庭聚会其乐融融，说着成都话聊着生活过往，文化认同一致，口味一致，大家族氛围很有趣。优越感在于对城市的了解，变迁了如指掌，从小长的的区域每条路都是记忆和故事。优越感在于一起长大的同学朋友三十年后还是在一起吃吃喝喝而不是各自纷飞鸟兽散。优越感在与成都是我们以及我们的祖辈的家，我们看它在生长，有好的也有不太好的，但是我们都热爱它。什么买了几个房子值多少钱，只有外地人才锱铢必较....因为成都人都有房子，不管好坏，住着舒服就好，没那么大物欲。,346,"认同逻辑3, 认同逻辑4, 认同逻辑1","{3, 4, 6}","{1, 3, 4}",missed
哈喽冒昧了，同成华区土著三代成都人，本人条件能看口音可查，能了解一哈不,34,[认同逻辑3],"{3, 4}",set(),missed
成都人确实爱吹牛，我亲戚就挺爱的，但是年轻一辈还是低调的，我表姐表妹去加拿大的，美国的，日本的都有，再不济我们也都读过大学，还是有点见识的，能来成都安家买房高薪的外地人，我们咋会看不起，我自己老公都是外地人，我可崇拜他了！我自己工作都是互联网圈子，基本上都是外地人，而且我很懒，不思上进，只想做我的技术，领导和公司核心很多都是外地人！但是你要说优越感我倒是有点，就是我家虽然是拆迁户，还在南门买了两套房，但是我依然努力的工作，月薪还很高，而且还低调朴实！从来不在同事面前吹我的房，也不在亲戚面前吹我的工资，我觉得也算是成熟的！这些勤劳智慧善良努力，应该就是我的优越感,-,"认同逻辑6, 认同逻辑3",set(),"{3, 6}",spurious
让我来模仿一下 1.真正的成都人都是不上班的，南门那边都是外地来打工的。 2.天府新区那边一堆农民拆迁的，整体素质不高 3.华阳，龙泉也能叫成都？只认五城区哈 4.土生土长的本地人都是享受生活的 5.除了五城区，都是郊区 个人感想：这种觉得自己土著的人（包括且不限于成都，上海，北京）在外面但凡遇到个比他城市好优越的土著，就秒变舔狗，受气也只有哑起的份儿丢人现眼到极致的玩意儿。,-,"认同逻辑1, 认同逻辑6, 认同逻辑7",set(),"{1, 6, 7}",spurious
成都人均收入并不高，一个城市全部翻新之后，就把低收入人群赶出去了，没有低收入人群服务，生活成本就上去了，成都的老小区生活便利，低收入人群也住的舒服，包容性很强。,-,"认同逻辑6, 认同逻辑5",set(),"{5, 6}",spurious
有每平方米一万以下的 一二环 老小区00年那种,16,"认同逻辑3, 认同逻辑6","{1, 6}","{3, 6}",missed
毕竟好多家庭 不见得可以拿出一两百万买一个环境好点 还在二环内的房子 毕竟我爸妈在成都工作这么久 基本都在一二环内 朋友也在附近 买到郊区肯定不现实 买一二环的房子改造是最好的方案了,16,[认同逻辑6],"{1, 6}",set(),missed
我也一直以为只要是哈尔滨辖区内不管市里还是县里的都可以算是哈尔滨市的人 直到我在小红书看到有人说县里的都是农村的 不属于哈尔滨人 他们老哈尔滨人只有道里的,2,"认同逻辑1, 认同逻辑2",{2},"{1, 2}",spurious
但是区和县还是不一样的，周边县市的只说自己是哈市的，也没什么，毕竟属于哈市辖区范围内，但是说自己是主城区土生土长的，也挺搞笑的。,1,"认同逻辑1, 认同逻辑2, 认同逻辑3",{1},"{1, 2, 3}",spurious
肯定不算北京人啊，说话口音也不像，文化背景也不同,4,[认同逻辑4],{4},set(),missed
我家是双城的，后来工作考到了南岗。首先声明我一直说我是双城人，放心我没有说我是哈尔滨。最近在抖音上看到，因为口音然后有这种区分争论。其实按行政归属来说，9区12县的都可以说自己是哈尔滨的呀。看到抖音这些争论，我更要说我是双城人了，我从来没有觉得说是哈尔滨人能为我提升什么档次。也没有觉得说双城有什么羞愧的。别人说可能也只是为了方便别人知道家乡大概是什么位置。另一方面，每一个城市的发展都是由在本城市同生活奋斗的人一起共同努力的。无论你是老哈尔滨人还是新哈尔滨人。,2,"认同逻辑2, 认同逻辑3",{2},"{2, 3}",spurious
9区12县都是哈尔滨……老哈尔滨人都认为早期的七区（还有被取消的动力区和太平区）五县，现在是哈尔滨市区主要包括道里区、南岗区、道外区、平房区、松北区、香坊区、呼兰区、阿城区、双城区。其他算郊县。所以啥哈尔滨人……唉，都是中国人，行政区域内，全都是哈尔滨人。没必要,2,"认同逻辑1, 认同逻辑2",{2},"{1, 2}",spurious
都是，又不是不属于哈尔滨,-,"认同逻辑2, 认同逻辑3, 认同逻辑6",set(),"{2, 3, 6}",spurious
那个某某区是指哪个区 把他除外那他到底归属于哪个市 而且我也说了 就这种观念简直是无法理解 你说电视上说一个区除外可以 但还有周边那么多县呢 你自己搜搜这种帖子评论下边有多少这种想法 县也不算哈尔滨的 个别的区也不算哈尔滨的 有些“老哈尔滨人”一个劲把这些都排除 那我就想问问这些你们不承认的地方他到底属于哪啊 他是属于大庆的？齐齐哈尔的？,2,认同逻辑1,{2},{1},missed
您大可不必费心向我论证哈尔滨市区的'高贵血统'。你们用口音腔调以及习惯当身份标尺，把市政惠民政策当作地域分界线，这种自诩优越的戏码实在令人莞尔。按这个逻辑，红肠是不是都得查查是不是县里生产的呀？要是县里生产的，那是不是都不能叫哈尔滨红肠？还有冰雪大世界售票规则不过是行政划分的产物，怎么就成了贵贱判书？作为大庆人，我们倒有个朴素的认知：五区四县同属一座城，油田子弟和湿地农家的孩子都在磕头机旁长大。这里的文明尺度从不丈量户口本上的地址——毕竟真正的体面，向来与敲键盘贬低他人的姿势成反比。,467,"认同逻辑1, 认同逻辑2, 认同逻辑3","{4, 6, 7}","{1, 2, 3}",missed
说嗯呐的不属于哈尔滨市里的,4,"[认同逻辑1], [认同逻辑4]",{4},set(),missed
以前是啊，后来城市发展都往周边建，老城区拆迁拆不起。就是最早繁华的有可能城市发展过快变成城中村。但是哈尔滨不至于，现在就是哈西和群力火一点，江北那边可能受影响较大没火起来。最早火实际是哈西，那时候群力没什么人。一般都首选哈西，群力买房人少。后来群力发展起来了，感觉比哈西还更繁华一些。住城市中心的好处，可能现在不明显了，以前没那么多公交线路，没地铁，打车又贵，更买不起车的年代，在中心住去哪都方便快捷。现在不一样了，实际去哪不堵车都差不多。我在北京一侧五环住，另一侧三环上班。公交倒地铁三趟再倒公交再走，两个半小时。你想想一天五个小时在路上，那耽误多少时间。北京交通那是啥也干不了，想看书？歌都听不了,-,"认同逻辑1, 认同逻辑5",set(),"{1, 5}",spurious
这个范围内的才叫本地人。。。我爷爷辈是肥东的当初来市区还要花钱买合肥户口才行。我出生时在省立医院步行街那个。那时候合肥人口才一百来万。我上学是工大附中。合肥工业大学就在现在南一环那。大学墙外就是农村田地，我们小时候爬墙过去炸菜地，趴祖坟。就那时候我们还被人说是郊区的。所以你觉得真的老合肥有多少人,13,"认同逻辑2, 认同逻辑3","{1, 3}","{2, 3}",missed
合肥一直都是移民城市，我93年到合肥，从幼儿园到高中，班上所谓纯正的合肥人就没几个，基本都是90年代跟着父母来的，都是普通话交流，合肥话都不会讲，你这些本地同事基本也应该是小时候移民过来的为主，就像我们这些人在别人看都是本地的，因为幼儿园就来了，但是其实也不是土生土长的,3,"Family Rootedness, Vernacular Spatial Authority",{3},set(),missed
发展起来的晚，年纪大一点的普遍受文化教育水平不高，很多拆迁户（没有歧视的意思，但确实老年人较多 素质确实有待提高）,4,"认同逻辑4, 认同逻辑6",{4},"{4, 6}",spurious
还有交通特别乱，机动车从不让行人，电动车逆行，到处乱窜不遵守交通规则,5,,{5},set(),missed
你牛我是庐阳区读书长大的，我觉得口音最容易分辨的 只要接触的人足够多。。进阶一点就是长相气质 不同地域人外貌特点差异很明显 我只能看出来南方人北方人 西南方和中部地区的差异，以前有个同事看人 能细分到周边两三个省份的程度,4,"Linguistic-Cultural Recognition, Family Rootedness",{4},set(),missed
啊？我03年的，我妹12年的，我们一家人平时交流都是合肥土话周围的亲戚基本上也都讲合肥话,4,"认同逻辑3, 认同逻辑4",{4},"{3, 4}",spurious
哈哈，新来的都在疯狂踩老城区，因为他们恰好赶上的房价最高的那一波,5,"认同逻辑1, 认同逻辑6",{5},"{1, 6}",missed
土生土长合肥人表示14年以前根本舍不得离开合肥，好爱这个城市，14年以后越来越不爱在合肥待着了，每年想办法溜出去给自己放假，感觉每个城市都比合肥新鲜，没有繁杂的交通环境，不用走在过个马路和各种电瓶车碰撞,5,"认同逻辑3, 认同逻辑5",{5},"{3, 5}",spurious
合肥土著人，感觉合肥的名片从包拯故里改成大湖名城以后，面积大了不少，交通也在变的便捷，相应的民生政策并没有积极跟上，希望越来越好，做到真正的宜居,-,认同逻辑1,set(),{1},spurious
合肥的人口这几年聚集太多了，整体管理还是有很大脱节的，比如停车问题就很糟糕。而且本地人也不少的，但和深圳不一样，本地人很少吃到房价上涨带来的资产增加，跟外地人组成新合肥人相比，竞争力相对不足,6,[认同逻辑6],{6},set(),missed
有一说一之前去合肥，当地的阜阳口音是真的正宗啊,4,[认同逻辑4],{4},set(),missed
我老家也是大圩的欸，不过好像大圩拆迁房的房价并不高吧，是什么葡萄家园吧,-,"认同逻辑3, 认同逻辑6",set(),"{3, 6}",spurious
新站我在那边住了几年生活挺方便的 有地铁1号线 三号线 四号线 新站那优势是那边是市区产证 ，整体的环境一般， 磨店那个商业街我也去了 都是一些小吃 奶茶店 平时没什么人，新站因为很多地区都被定位工业区 ，新站那边现在主要靠 京东方 维信诺 和康宁这几个大厂来支撑 。至于后期的五星级酒店和普通人也没太大关系。,-,"认同逻辑2, 认同逻辑5, 认同逻辑1",set(),"{1, 2, 5}",spurious
首先看你怎么定义发展，1.政府意义上发生最好的肯定是包河区，一系列数字亮瞎眼；2.从产业就业角度，发展好的是高新区，平头百姓家靠个人努力能达到的高度；3.从个人体验上来说，感受发展最好的是政务区，相对比较新，配套也成熟，居住体验不错。4.从真正的功能体验上来说，外围的发展和我护城河内的老居民来说关系不大，顶级的教育质量、医疗配套、核心商业都有，房子要那么大干什么？舒服便捷第一位，送孩子上学步行；去省立安医不用一去就要花半天；晚上饿了下了楼走5分钟就有的烟火气；单位大院邻里的热火劲；父母年纪大了东西拿不动时都能碰到孩子发小搭把手的远亲不如近邻的熟人圈。,6,"[认同逻辑5], [认同逻辑6]",{6},set(),missed
土生土长庐阳区人 虽然是老城区 但交通吃喝真的很方便 习惯了,3,"[认同逻辑3], [认同逻辑5]",{3},set(),missed
没有，我土生土长合肥蜀山区人就喜欢绿化好人少的居住环境，所以大蜀山附近和滨湖是我买房首选,3,"认同逻辑3, 认同逻辑5",{3},"{3, 5}",spurious
上派生活也超级方便，家家公园房，买菜也比市里的菜好，商业也很发达，现在还通地铁了,5,[认同逻辑5],{5},set(),missed
瑶海排除，乱死了尤其龙岗这边长江批发市场这里，绿灯过斑马线一堆开电瓶车运货的一点也不看，就上来撞人,7,,{7},set(),missed
作为土生土长本地人目前居住滨湖，但还是喜欢我庐阳啊,-,"认同逻辑3, 认同逻辑1",set(),"{1, 3}",spurious
你看哪个区房价最贵。,-,认同逻辑6,set(),{6},spurious
我也住城区，但是近综合交通，你自己试试下高架5分钟就到家多舒服了,5,[认同逻辑5],{5},set(),missed
有一系列的配套，离老城区也很近，就很方便,-,"认同逻辑1, 认同逻辑5",set(),"{1, 5}",spurious
"个人感觉目前济南市区的范围:
 东线: 凤凰路-凤凰北路（东边发展太快，二环东肯定打不住了）
 西线: 二环西高架（说纬十二-郎茂山路也可以）
 南线: 二环南高架（无任何争议）
 北线: 北园高架-工业北高架（无任何争议）
 欢迎理性讨论，拒绝无脑发言。该区域划分按照济南现有发展程度所制，无任何地域歧视",15,认同逻辑1,"{1, 5}",{1},missed
我小时候从济钢到市区叫做“去济南”。……而且还要坐火车去“济南”，那时济钢桥头有个374车站，编号是距离青岛站374公里的意思，后面改叫韩仓站，现在废弃了。后来有了8路、10路公交车……现在公交、地铁一应俱全，不过不超过CBD（原二钢）还是电瓶车最方便,1,Vernacular Spatial Authority,{1},set(),missed
坐标槐荫……86年……小时候我们在机务段做火车去市里……,1,"认同逻辑1, 认同逻辑3",{1},"{1, 3}",spurious
我知道济南历史文化名城，论经济青岛不算是后起之秀吗，济南现在历下市中发展比较好，资源倾斜都感受不到吗，我遇到的都按发展谈论市区，可能和年轻人讨论比较多，基本都看发展，大家公认青岛发展会比济南好，但现在新建地铁，可能也是新机遇,5,"认同逻辑1, 认同逻辑5",{5},"{1, 5}",spurious
我06的，家在市中区，现在往泉城路还习惯说是去市里,1,"认同逻辑1, 认同逻辑4",{1},"{1, 4}",spurious
所以并不是所有的老济南人都认准那一块，你要搞清楚，就天桥槐荫那块小时候呆了20年，等有钱买房了第一时间搬到领秀城附近，这才是老济南的缩影,1,"[认同逻辑3], [认同逻辑6]",{1},set(),missed
我爷爷说护城河以里是济南，我姑姑嫁去全福都觉得是『闺女嫁外头去了』…80后（我）觉得市区还是二环里，下班回家觉得过来二环东才算进市区…当然了，东部发展的比其他地方都快，是二环南二环北二环西都比不上的，但内心还是觉得，那是『二环外』,1,Vernacular Spatial Authority,{1},set(),missed
批发市场不是市区吗？？你家的批发市场在农村啊？？,1,[认同逻辑1],{1},set(),missed
呃，有没有想过被划进来的也不喜欢济南啊，纯纯被济南吸血光靠济南市区早就让烟台超了,12,[认同逻辑6],"{1, 2}",set(),missed
差不多吧，这个和济南公共交通建设网络有关系吧，地铁基本上就围着城郊走一圈，市区去东南西北如果乘坐公共汽车或者打车也蛮麻烦的,5,[认同逻辑1],{5},set(),missed
最近又出了双层公交车，线路好像就是走历城区那块，我一个室友就是历程的，她拍了视频给我们特意强调这是她们那边的双层公交车，我很不能理解，双层公交我记得小时候经常坐，都不觉得是多么稀罕的东西了，然后双层公交没了几年，现在又出来了，她给我们几个小时候就经常坐的同学显摆，我们都不好意思说我们之前就坐过,1,"认同逻辑1, 认同逻辑3, 认同逻辑6",{1},"{1, 3, 6}",spurious
龙洞似乎并不介意自己属不属于济南市区，只知道自己最贵就可以了,5,"认同逻辑6, 认同逻辑2",{5},"{2, 6}",missed
你画的小商品批发市场有汽车站有动物园的 也不算市区啊,5,认同逻辑1,{5},{1},missed
很小的时候去济南，觉得历城就是郊区了，至于莱芜，我们本来就是刚合过去的，大多数的莱芜人在归属感上还是认同自己是莱芜人，个人观点不喜勿喷,1,"认同逻辑1, 认同逻辑3",{1},"{1, 3}",spurious
一部分在历下一部分在历城吧 高新不是行政区划啊,2,"认同逻辑1, 认同逻辑2",{2},"{1, 2}",spurious
历下:设施齐全去哪里都方便 市中:万达大观园老商埠偶尔逛逛 天桥:小时候买衣服长大了搞装修偶尔去逛农贸市场 高新:都是上流社会的人 绿化挺好 槐荫:大剧院西客站宜家（？忘了是不是在槐荫了） 历城:没去过但是知道在市里 章丘长清平阴:已经不在市里了,15,"[认同逻辑5], [认同逻辑6], [认同逻辑1]","{1, 5}",set(),missed
啥叫市中心 和传不传统没关系啊 具有文化教育医疗商业在城市领先的地方才是市中心啊 cbd在哪哪就是呗,5,Functional Livability,{5},set(),missed
哈哈哈 我也是家里三代都在市区 对老南昌人来说市中心就是八一广场附近的商圈 我小时候念的育新嘛 就很夸张 说三十四年以前 二七北路都是郊区,13,"Family Rootedness, Vernacular Spatial Authority","{1, 3}",set(),missed
土生土长南昌人告诉你，南昌的市中心是东湖区八一广场中山路孺子路等那一片，红谷滩以前很荒废，后来发展起来的，所以红谷滩那边很多外地人，但现在确实红谷滩发展的很好,15,认同逻辑1,"{1, 5}",{1},missed
老市中心和新市中心的区别，从小在红谷滩长大，以前是叫昌北的，小时候到处都是一片荒芜，鸟不拉屎的地方，都是说过了八一桥才是真南昌，所以去东湖那边都会说去南昌。后面红谷滩才慢慢开发起来，建了很多大厦，开设地铁，引入CBD，包括各级政府的迁移，也改名从红谷滩新区到红谷滩区了，现在说是南昌的市中心我觉得没毛病。,15,"认同逻辑1, 认同逻辑2, 认同逻辑3","{1, 5}","{1, 2, 3}",missed
原来省政府在八一广场那，八一广场一带就是市中心，中山路、步行街，大点范围可以说市中心是东湖西湖区。小时候逛街都是去八一广场、中上路、万寿宫、步行街。后来，孟建柱到了江西，用上海模式建立了一江两岸，发展了红谷滩，市政府迁了过去，政治中心的转移，也使得红谷滩发展越来越好，包括后来发展的新建县。我还记得小时候和妈妈去昌北，那时候还得坐小巴车、车上也脏，真的就是去了农村。后来红谷滩开始发展的时候，我去新建二中读书，我依然还记得那时候上一周学回来，脚上全是泥，我爸开玩笑说我是耕田回来的。没有贬义的意思啊！现在红谷滩和新建区都发展的很好，我也很喜欢我的母校。就是突然看到这个话题，想起来小时候。,1,"Vernacular Spatial Authority, Family Rootedness, Functional Livability",{1},set(),missed
我老公南昌土著，说他小时候红谷滩就是一片荒滩。,3,"认同逻辑1, 认同逻辑3",{3},"{1, 3}",spurious
黄明他妈我见过，标准的市里人，不是胶州口音,4,[认同逻辑4],{4},set(),missed
我也是城阳人，听到市里口音够够的，高贵的很,4,[认同逻辑4],{4},set(),missed
抱抱，反正在我眼里我只看行政区域划分，属于青岛那就是青岛人，管是胶州还是城阳，早些年因为交通不便利人们觉得隔着远就罢了，现在不管地铁还是开车一会就到了呀,2,[认同逻辑2],{2},set(),missed
而且莱西平度跟青岛持平的就剩口音了，别的方面跟青岛都有差距，胶州起码还有地铁机场,45,"认同逻辑4, 认同逻辑5, 认同逻辑1","{4, 5}","{1, 4, 5}",spurious
画多了，应该就是市南+市北（不能过北岭水清沟）+崂山（不能过金家岭），这些才是青岛市里the city哈哈。----土生土长的青岛小嫚现在是老阿姨一枚,1,"认同逻辑1, 认同逻辑3",{1},"{1, 3}",spurious
我之前去青岛玩，他们说房价最贵的区是在崂山区，可为什么市南区会看不起城建比较新的崂山区，还觉得对方乡下，不懂... 是类似浦西浦东那样吗？,-,"认同逻辑1, 认同逻辑6",set(),"{1, 6}",spurious
作为土生土长青岛市南人，真不懂谁在搞这些鄙视链！青岛市区上了年纪的人，有几个人在胶南胶州没有老家的亲戚？还不是爷爷辈那辈才进城？另外，市区的高考升学率一直被县级市的学校吊打，当然这和学校不卷有很大关系，很多人后来出国为主。论经济，县级市也出了很多驰名企业。现在的香港路，我幼儿园那阵还是小村庄，这个庄，那个庄的。,-,认同逻辑3,set(),{3},spurious
