Case,Text,Golden_Labels,Models_Spurious_RL7,Models_Correct_No_RL7,Qwen3-32B_Few,Qwen3-235B_Few,Gemma_Few,Qwen3-32B_Zero,Qwen3-235B_Zero,Gemma_Zero
11,房山柿子不行，房山最大的特产是跨区打工人,set(),"['Qwen3-32B (Few-shot)', 'Qwen3-235B-A22B (Few-shot)', 'Gemma-3-27B (Few-shot)']","['Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)', 'Gemma-3-27B (Zero-shot)']",{7},{7},{7},{3},set(),set()
12,早期南宁各类资本大佬聚会碰头也是在朝阳的 那时候南宁不大的 以朝阳为圆心 以前的老万国酒楼就是那些大老板谈生意地方喽,{1},['Qwen3-235B-A22B (Few-shot)'],"['Qwen3-32B (Few-shot)', 'Gemma-3-27B (Few-shot)', 'Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)', 'Gemma-3-27B (Zero-shot)']",{1},"{1, 7}",{1},set(),"{3, 6}",set()
13,东城：城里人 西城：城里人 海淀：很那个的地方 朝阳：巨大一片 哪都是朝阳 丰台：有什么啊 石景山：钢！(石景山同学说是城中村 门头沟：啊？ 房山：有一片学校 通州：待富 目前只有环球拿得出手 顺义：牛栏山一中 昌平：天通苑 大兴：荟聚 怀柔：有什么啊 平谷：大桃 还有音乐节 密云：水库 延庆：冬奥？,{1},['Qwen3-235B-A22B (Few-shot)'],"['Qwen3-32B (Few-shot)', 'Gemma-3-27B (Few-shot)', 'Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)', 'Gemma-3-27B (Zero-shot)']",{1},"{1, 7}",{1},set(),set(),"{1, 5}"
14,哈是乡里别，哪有城里人,{1},['Qwen3-32B (Few-shot)'],"['Qwen3-235B-A22B (Few-shot)', 'Gemma-3-27B (Few-shot)', 'Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)', 'Gemma-3-27B (Zero-shot)']","{1, 7}",{1},{1},{1},set(),"{3, 4}"
15,历下:设施齐全去哪里都方便 市中:万达大观园老商埠偶尔逛逛 天桥:小时候买衣服长大了搞装修偶尔去逛农贸市场 高新:都是上流社会的人 绿化挺好 槐荫:大剧院西客站宜家（？忘了是不是在槐荫了） 历城:没去过但是知道在市里 章丘长清平阴:已经不在市里了,"{1, 5}",['Qwen3-235B-A22B (Few-shot)'],"['Qwen3-32B (Few-shot)', 'Gemma-3-27B (Few-shot)', 'Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)', 'Gemma-3-27B (Zero-shot)']","{1, 5}","{1, 5, 7}","{1, 6}",set(),{5},set()
16,东城：京爷您吉祥 西城：京爷您吉祥（这两个没贬义，因为感觉胡同多多的，是真京爷） 海淀：学的我想死，根本跟不上海淀学生😭我不会的他们都学过了😭 朝阳：上大学，就认识这一亩三分地 丰台：小时候去园博园 大学找朋友玩总去坐高铁 石景山：石景山游乐园+去过漫展 门头沟：总发大水 房山：朋友家 远远嘟 通州：副中心，环球影城 顺义：国际学校多有钱人多 社会大课堂总去七彩蝶园和鲜花港 昌平：大一在昌平，远，好朋友在那上大学 大兴：没什么印象，有漫展 怀柔：红螺寺 社会大课堂去过生存岛 平谷：看桃花 摘桃 密云：我家 去城里不方便😫存了半天喝不着水库水 延庆：远远嘟，去过世园会,{5},['Qwen3-32B (Few-shot)'],"['Qwen3-235B-A22B (Few-shot)', 'Gemma-3-27B (Few-shot)', 'Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)', 'Gemma-3-27B (Zero-shot)']","{1, 5, 7}",{1},"{1, 6}",set(),{4},"{1, 4}"
17,发展起来的晚，年纪大一点的普遍受文化教育水平不高，很多拆迁户（没有歧视的意思，但确实老年人较多 素质确实有待提高）,{4},['Gemma-3-27B (Few-shot)'],"['Qwen3-32B (Few-shot)', 'Qwen3-235B-A22B (Few-shot)', 'Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)', 'Gemma-3-27B (Zero-shot)']",set(),set(),"{6, 7}",set(),set(),"{4, 6}"
18,哈哈哈哈 我土著我倒是还好，但我身边的土著亲戚朋友 确实看不起外地的 而且三环外的都不行 我亲戚还说我男朋友是农转非,"{1, 2}","['Qwen3-235B-A22B (Few-shot)', 'Gemma-3-27B (Few-shot)', 'Gemma-3-27B (Zero-shot)']","['Qwen3-32B (Few-shot)', 'Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)']","{1, 3, 6}","{1, 3, 7}","{1, 6, 7}",set(),{3},"{1, 3, 7}"
19,"“城阳不算青岛…”最近山东的小伙伴可能都刷到了这个视频，青岛大姨把城阳黄岛即墨胶州莱西平度开除岛籍，到底哪才是青岛呢？
 🛡️叠甲：坚决反对一切地域歧视和地图炮言行🙅
 🧒本人：家庭来自江苏常州多年在青岛上学工作（市南区实验-市实验初中-青岛二中）
 1.“算不算青岛”本质是一个“城 郊 对立”的说法，行政上各区市都属于青岛，但主城区的大姨群体不认同其他区市的人是“青岛人”
 2.【教育体系的隔离】多年以来城阳黄岛莱西等区市的学生，都无法报考市属重点高中（2 58 1 9），10年前崂山的学生仅有部分能报考（这也是崂山以前被开除岛籍的原因），至今城阳黄岛等区的学生也无法派位局属初中（实验 26 39 ），教育资源分布不均问题仍未解决。
  
 3.【方言口音的差异】主城区居民多是移民，更接近普通话，且有部分外语舶来词，这也是大姨们优越感的来源之一，城阳、黄岛（胶南）即墨本地人居多，口音和词汇更具地方性历史性。
 4.【道路交通的隔离】至今青岛主城区通往各区市的最便捷路线都需要交费：黄岛-海底隧道、城阳-青银高速、即墨平度莱西-青新龙青高速、胶州-跨海大桥，这在大型城市中是比较少见的人为隔离，导致产生了“进城”要交钱的优越心理，也增加了跨区通勤的成本。【再次呼吁海底隧道免费！】
  
 5. 【皈依者狂热】这一心理现象多出现在受过殖民影响的地区，主城区的移民们觉得自己继承老德意志正黑旗的衣钵，靠着优越感和歧视来构建区域居民认同。同样的病态心理也出现在部分上海、香港等地居民。
 6.【发展不均衡】抛去gdp这种和普通人关系不大的数据不谈，各区人均可支配收入基本符合“开除岛籍”视频中的描述，主城区包揽前几名（2022年度数据）。
  
 7.【被歧视、凝视者的反击】很多在主城区求学、工作的人都在租房、挤地铁公交的过程中遭受过大姨们的嘲讽、歧视、冒犯，互联网玩梗，既是消遣也是反击。
 【综上所述】“不算青岛”本身就是没有上海香港的命得了上海香港的病。一个歧视他人的人不会有大出息，一个排外甚至排内的城市不会有大发展。研究哪个区算青岛，不如研究如何促进教育公平、经济发展、交通畅通。","{2, 5}","['Qwen3-32B (Few-shot)', 'Gemma-3-27B (Few-shot)']","['Qwen3-235B-A22B (Few-shot)', 'Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)', 'Gemma-3-27B (Zero-shot)']","{1, 4, 5, 6, 7}","{1, 2, 4, 5, 6}","{1, 2, 4, 5, 6, 7}",{4},set(),"{1, 2, 3, 4, 5, 6}"
20,东城：故宫 南锣鼓巷 西城：景山公园 海淀：卷子好难 初高中折磨我6年 朝阳：老去内头逛 石景山：不太熟就记得学校去内体育馆开过个运动会 丰台：不太熟就记得之前学校里有个住这儿的走读生 门头沟：对象在内块上过学 通州：太爱吹牛逼，，，远离卷毛老太太…… 昌平：超级合生汇 大兴：去机场千万别卡点…… 顺义：别墅 有钱的多 怀柔：慕田峪长城 雁栖湖 平谷：桃好吃！口音好重 密云：水库 南山滑雪场里面的教练好美 房山：周口店猿人遗址 延庆：八达岭长城 动物园,"{1, 4}",['Gemma-3-27B (Zero-shot)'],"['Qwen3-32B (Few-shot)', 'Qwen3-235B-A22B (Few-shot)', 'Gemma-3-27B (Few-shot)', 'Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)']",set(),{1},{1},set(),set(),"{1, 4, 5, 6, 7}"
21,住在朝阳，社会关系大多在翠微周边，西边的确有点土，但那是低调，不低调也不敢啊！朝阳洋气不老少，但民营经济主导，总被西边看不起，这世界总会有你看不上我，我看不上你的事儿！,"{1, 4, 6}",['Qwen3-235B-A22B (Few-shot)'],"['Qwen3-32B (Few-shot)', 'Gemma-3-27B (Few-shot)', 'Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)', 'Gemma-3-27B (Zero-shot)']","{1, 6}","{1, 6, 7}","{1, 6}",set(),set(),set()
22,西城：皇城根儿 正黄旗 东城：旅游景点 全是人 朝阳：潮 喜欢去那边玩 海淀：全是学霸 学生时期每周末都来补习 大兴：西瓜好吃 丰台：买花买鱼的地方 有点土潮 通州：环球影城 zf办公区 密云：水库环境好 鱼好吃 周末玩水 延庆：有口音 不算北京 怀柔：空气好 房山：猿人遗址 门头沟：发大水 平谷：不熟 有桃儿,{4},['Qwen3-235B-A22B (Few-shot)'],"['Qwen3-32B (Few-shot)', 'Gemma-3-27B (Few-shot)', 'Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)', 'Gemma-3-27B (Zero-shot)']","{1, 4}","{1, 4, 5, 7}","{1, 4}",set(),set(),"{3, 4}"
23,新站我在那边住了几年生活挺方便的 有地铁1号线 三号线 四号线 新站那优势是那边是市区产证 ，整体的环境一般， 磨店那个商业街我也去了 都是一些小吃 奶茶店 平时没什么人，新站因为很多地区都被定位工业区 ，新站那边现在主要靠 京东方 维信诺 和康宁这几个大厂来支撑 。至于后期的五星级酒店和普通人也没太大关系。,set(),['Gemma-3-27B (Few-shot)'],"['Qwen3-32B (Few-shot)', 'Qwen3-235B-A22B (Few-shot)', 'Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)', 'Gemma-3-27B (Zero-shot)']",{5},"{2, 5, 6}","{2, 7}",set(),set(),"{1, 2, 5}"
24,让我来模仿一下 1.真正的成都人都是不上班的，南门那边都是外地来打工的。 2.天府新区那边一堆农民拆迁的，整体素质不高 3.华阳，龙泉也能叫成都？只认五城区哈 4.土生土长的本地人都是享受生活的 5.除了五城区，都是郊区 个人感想：这种觉得自己土著的人（包括且不限于成都，上海，北京）在外面但凡遇到个比他城市好优越的土著，就秒变舔狗，受气也只有哑起的份儿丢人现眼到极致的玩意儿。,set(),"['Qwen3-32B (Few-shot)', 'Qwen3-235B-A22B (Few-shot)', 'Gemma-3-27B (Few-shot)', 'Gemma-3-27B (Zero-shot)']","['Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)']","{1, 7}","{1, 7}","{1, 6, 7}",set(),set(),"{1, 6, 7}"
25,东城：出生地 西城：学前班以及爷爷奶奶家 富贵之地 朝阳：定居➕身份证号 朝阳人民群众 商务区 使馆区 购物时尚 金融CBD 海淀 各种重点学校➕很多部队的人员居住➕学区房老破小➕IT 丰台：印象中南城外省市的流动人口最多 石景山：对它印象一直停留在石景山游乐园 大兴：水质很差 都是村 房山：口音很重 感觉路途遥远 都是景点 怀柔：周末远郊必去 昌平：上风口 选🪦的风水宝地和延庆一起堪称北京空气质量略好一筹的地区 密云：密云水库 🍑 古北水镇 口音也很重 延庆：除了山就是村 开车还要盘山 房子便宜的你都不认为它是北京！,"{1, 2, 3, 4}","['Qwen3-32B (Few-shot)', 'Qwen3-235B-A22B (Few-shot)', 'Gemma-3-27B (Few-shot)']","['Qwen3-32B (Zero-shot)', 'Qwen3-235B-A22B (Zero-shot)', 'Gemma-3-27B (Zero-shot)']","{1, 2, 3, 4, 5, 7}","{1, 2, 3, 4, 5, 7}","{1, 2, 3, 4, 5, 7}",set(),set(),set()
