comment_id,text,golden,golden_has_3,Qwen3-235B-A22B_few_shot,Qwen3-32B_no_cot,gemma-3-27b-it_zero_shot,Qwen3-32B_few_shot,Qwen3-32B_zero_shot,gemma-3-27b-it_no_cot,Qwen3-235B-A22B_zero_shot,gemma-3-27b-it_few_shot,Qwen3-235B-A22B_no_cot
comment_beijing3_1_196,几代人都在海淀，时尚黑洞真不冤，很松弛但西城海淀的优质房产保值度高，朝阳很多盘跌的稀碎。虽然朝阳能买3.500平的明星小区，西城海淀也就只能买个改善盘大平层…,36,True,✓,✗,✓,✓,✓,✓,✓,✓,✓
comment_beijing3_1_329,对于我这城里土生土长的北京人的陈旧的思想：东边过了东大桥就是农村。西边过了官园就是农村。北边出了北三环就是农村。南边过了自然博物馆就是农村。海淀区就中关村再往西北就农村。丰台都郊县原来打电话都带郊直费。通州是哪？哦你说通县呀。去趟顺义一天回不来得住村里。延庆我草得坐火车(原来真从西直门坐火车),13,True,✗,✗,✗,✓,✗,✗,✗,✗,✓
reply_gz2_1_1_6,从来不怀疑自己，因为年年有分红，有祠堂有时候吃饭都要走去祠堂,36,True,✗,✗,✓,✓,✗,✗,✓,✗,✗
reply_gz2_1_5_4,我从来未霖过呢个问题，结果系个帖子度睇下八卦，被判定唔系广州人以我知道嘅我屋企对上几代都系广州（更前几代唔知系因为我从未问过家族史），身份证4401，一直都系讲粤语，住村度有分红，跟住帖度d人话，冇祠堂就唔系，fine，原来我一直都系外地人，我地成村都冇祠堂，估计一村人都系外地人，真系笑佐,346,True,✗,✗,✗,✓,✗,✓,✗,✓,✓
comment_gz2_1_30,在广州三代以内上就算真正广州人，二代以内是新广州人，一代开荒牛是广州移民，三代都不讲广州话的是外省广州人（祖宗是捞佬）来广州的。,34,True,✓,✓,✗,✓,✓,✓,✓,✓,✓
comment_gz2_1_39,我爸广州天河本地的 但是当时我妈老家有分红 把我户口跟妈妈了 那我也不算广州的 我爸总说 你就是广州的所以我是不是广州本地的啊（说的一口流利粤语 从小就在广州长大）,34,True,✓,✓,✓,✓,✗,✓,✓,✗,✓
comment_gz2_1_88,有没有祠堂？有没有地？有没有分红？,36,True,✓,✗,✗,✓,✗,✓,✓,✓,✗
reply_gz2_1_105_2,只有广州农村人才算广州人吗我们公司主管是土生土长的广州人，但是一直住在靠近市区，家里也没有分红,3,True,✓,✓,✗,✓,✓,✓,✓,✗,✓
comment_gz2_1_111,有祠堂有族谱没分红，阴公,36,True,✓,✗,✓,✓,✓,✓,✗,✓,✓
comment_gz2_1_117,判断是否广州本地人，就一个标准，有分红有祠堂有地,36,True,✓,✗,✗,✗,✗,✗,✓,✗,✗
comment_gz2_1_176,从小土生土长，会说流利白话就算是，别人也分辨不出来的，我的就是很浓的白云某村口音白话,34,True,✓,✓,✗,✓,✓,✗,✓,✓,✓
comment_gz2_1_177,不算，我也是爷爷那一辈来广州定居，父亲和自己都是土生土长的，但是祖宗坟茔和宗祠都在老家。年年都要预留时间回老家扫墓。然后因为是在大院长大，跟本地人的圈子也融不进去，即使自己讲着一口广州话但是就是觉得差了这么一点可能真的只有祖辈生于广州的才会形成广州人认同。,3,True,✓,✓,✗,✓,✓,✓,✓,✓,✓
comment_gz2_1_195,籍贯广州，广州村民，清明去白云山上拜，几代祖先都在山上，而不是去公共墓园，家庭所有成员粤语完全不带口音,134,True,✓,✓,✗,✓,✓,✓,✓,✓,✓
comment_gz2_1_200,我妈妈是白云区某村有祠堂的，爸爸是潮汕归侨，我广州土生土长我觉得自己只是半个广州人,3,True,✓,✓,✓,✓,✓,✓,✗,✓,✓
comment_gz2_1_223,别纠结了基本不是，民国前广州城只有西门口到大东门。我家没有祠堂，清朝在西关做生意后来家族逃出去又回来。广州土著大部分都走国外，留下来万中无一，美加香港南洋比广州更多广州土著。,3,True,✓,✓,✓,✓,✗,✓,✓,✓,✓
comment_gz2_1_227,不算吧，我外公开始来广州工作我妈他们在广州长大的，在家也都是说粤语，基本只有清明才会回老家一两天，他们都不会说自己是广州人。,3,True,✗,✗,✓,✓,✗,✓,✓,✓,✓
reply_gz2_1_258_16,看年龄，时代不一样，现在00后很多土生土长的广州人也不会粤语,3,True,✗,✓,✗,✓,✗,✗,✓,✗,✓
comment_gz2_1_261,广州出世叫本地人..但系广州某村出世加有分红或有地叫土著.这样比较容易解释,36,True,✗,✗,✗,✗,✗,✓,✗,✗,✓
comment_gz2_1_264,有祠堂有分红,36,True,✓,✗,✗,✓,✓,✗,✓,✓,✗
comment_wuhan3_1_21,我土生土长的武汉人，说实话20年前我觉得汉口是武汉最富裕的地方，现在光谷发展的太快了太好了，很多住市区的人跑这边来上班，武汉未来还是看光谷。,3,True,✓,✗,✗,✓,✓,✗,✓,✓,✓
reply_chongqing_1_2_14,你那是老辈子的了！或者是直辖前更新的那批！我解放碑五一路土生土长的都是500103 这个没什么要争论的！都是,3,True,✓,✗,✗,✗,✓,✓,✓,✓,✓
comment_chongqing_1_45,渝中区土著，大坪土生土长，现在住渝北,3,True,✓,✗,✓,✓,✓,✓,✓,✓,✓
comment_chongqing_1_118,看了一圈，就没有大渡口的土著吗？我妈小时候是城头的，大溪沟，枣子岚垭，我爸是和平路的，但都是在我出生之前，我是510203，我们那里我出生的时候还属于九龙坡，后来就变成了大渡口,3,True,✓,✓,✓,✗,✗,✓,✓,✓,✓
reply_chongqing_1_204_4,不是，土著是🈯只有解放碑为商业中心的那个时代就住在两江三岸的人,3,True,✗,✗,✓,✓,✓,✓,✓,✓,✓
comment_chongqing_1_243,市中心土生土长的很少 因为以前就没多少人 看以前的老照片就知道 又没高楼 外来的比较多,3,True,✓,✗,✓,✓,✓,✓,✓,✓,✓
comment_changsha1_1_28,小时候住南门口大一点住八角亭，正宗老城区长大的，老城区就是邻居都会比较熟络，现在回以前住的房子去看，那些邻居都会很热情的喊你，问一问家里人的情况。现在住梅溪湖，其实朋友聚会逛街还是喜欢去“城里”，居住的话也很喜欢梅溪湖，小区比较有活力，小孩上学方便，晚上湖边散步也很方便。,1356,True,✗,✗,✓,✗,✓,✓,✓,✗,✓
comment_changsha2_1_37,范围大点只有天心区算城区，其他都是乡里别比如雨花区，我就住这，以前全是菜地，我老公土生土长的坡子街人，他说老城区只有坡子街那一块小破地，什么开福区雨花区都没人住的荒郊野地，更别说河西的岳麓区啊跳马啊望城了，那更加不算,13,True,✗,✗,✓,✓,✓,✓,✗,✗,✓
